code_insee,nom,population,nombre_d_equipements_sportifs,ratio_de_la_commune,strate_de_la_commune,ratio_de_la_strate_de_commune,ratio_du_departement,nom_de_l_epci_de_rattachement,moyenne_de_l_epci,strate_de_l_epci,moyenne_de_la_strate_de_l_epci,nombre_de_types_d_equipements,moyenne_du_nombre_de_types_d_equipements_de_la_tranche_de_la_c,nombre_de_type_d_equipements_de_l_epci,moyenne_du_nombre_de_types_d_equipements_de_la_tranche_de_l_ep,_01___bassin_de_natation,_02___boulodrome,_03___bowling,_04___circuit_piste_de_sports_mecaniques,_05___court_de_tennis,_06___equipement_de_cyclisme,_07___equipement_piste_de_ski,_08___equipement_d_activites_de_forme_et_de_sante,_09___equipement_equestre,_10___equipement_d_athletisme,_11___mur_et_fronton,_12___parcours_de_golf,_13___parcours_sportif_sante,_14___pas_de_tir,_15___aire_de_sports_de_glaces,_16___plaine_de_jeux,_17___plateau_eps,_18___salle_de_combat,_19___salle_multisports,_21___salle_ou_terrain_specialise,_22___salle_non_specialisee,_23___site_d_activites_aeriennes,_24___site_d_activites_aquatiques_et_nautiques,_25___site_de_modelisme,_26___skate_park_velo_freestyle,_27___structure_artificielle_d_escalade,_28___terrain_de_grands_jeux,_29___terrain_exterieur_de_petits_jeux_collectifs,_30___divers_equipements_sports_de_nature,_31___divers_equipements,longitude,latitude,the_geom,cartodb_id,created_at,updated_at
31255,Labroquère,315,2,6.3,Moins de 2000,7.9,5.6,CC du Haut Comminges,7.4,Moins de 20.000,8.5,2,2.5,13,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.592149156354288,43.0419863049314,0101000020E61000003AA99CC9E2F2E23FB647A7CE5F854540,9006,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31256,Labruyère-Dorsa,248,1,4,Moins de 2000,7.9,5.6,CC de la Vallée de l'Ariège,3.9,Moins de 20.000,8.5,1,2.5,19,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47096159678027,43.4052417942656,0101000020E6100000BE7DFD060F89F73FEBAB8EF6DEB34540,9007,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31258,Lacaugne,198,2,10.1,Moins de 2000,7.9,5.6,CC du Volvestre,4.6,20.000 à 50.000,5.7,2,2.5,17,20.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.28220526317507,43.2814493238852,0101000020E6100000368981AAE983F43FBCC80C8806A44540,9008,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31259,Lacroix-Falgarde,2028,11,5.4,2.000 à 10.000,5.6,5.6,CA du Sicoval,4.8,50.000 à 100.000,4.7,7,9.8,21,22.7,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,1.42411448833822,43.5006829840183,0101000020E610000044C212462CC9F63FDA02496116C04540,9009,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31261,Lafitte-Vigordane,1059,4,3.8,Moins de 2000,7.9,5.6,CC du Volvestre,4.6,20.000 à 50.000,5.7,4,2.5,17,20.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.1620769972102,43.3034532146305,0101000020E6100000223AA70CDE97F23F1F5A108ED7A64540,9010,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31262,Lagarde,328,2,6.1,Moins de 2000,7.9,5.6,CC Cap Lauragais CC du Canton de Villefranche de Lauragais,5.3,Moins de 20.000,8.5,2,2.5,15,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69673253119507,43.3451442764484,0101000020E61000008CACB802D125FB3FADDF09B02DAC4540,9011,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31263,Lagardelle-sur-Lèze,2441,5,2,2.000 à 10.000,5.6,5.6,CC de Lèze Ariège Garonne,5.9,Moins de 20.000,8.5,5,9.8,13,14.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1.39324979922032,43.4142474447787,0101000020E61000001CF52C4DC04AF63F57E36D0F06B54540,9012,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31264,Lagrâce-Dieu,478,2,4.2,Moins de 2000,7.9,5.6,CC de la Vallée de l'Ariège,3.9,Moins de 20.000,8.5,1,2.5,19,14.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4051133845711,43.3376600991779,0101000020E6100000D6791E2C587BF63F0D91357238AB4540,9013,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31268,Lalouret-Laffiteau,140,1,7.1,Moins de 2000,7.9,5.6,CC du Saint Gaudinois,6.7,20.000 à 50.000,5.7,1,2.5,20,20.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700553739046673,43.1868613836784,0101000020E6100000A878C9ACEF6AE63F5BE4E512EB974540,9014,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31269,Lamasquère,1322,7,5.3,Moins de 2000,7.9,5.6,CC Axe Sud,3.6,20.000 à 50.000,5.7,5,2.5,15,20.1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.24825776331813,43.4843781313073,0101000020E610000023DFE621DDF8F33F656E441A00BE4540,9015,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31270,Landorthe,946,7,7.4,Moins de 2000,7.9,5.6,CC du Saint Gaudinois,6.7,20.000 à 50.000,5.7,5,2.5,20,20.1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.777190769179198,43.1295602492906,0101000020E610000073160C2DBFDEE83F49C8246E95904540,9016,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31271,Lanta,1715,11,6.4,Moins de 2000,7.9,5.6,CC Coeur Lauragais,5.7,Moins de 20.000,8.5,7,2.5,14,14.5,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1.66814126977052,43.5614139245558,0101000020E6100000545B6CE6B4B0FA3F3BBE5669DCC74540,9017,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31273,Lapeyrouse-Fossat,2686,12,4.5,2.000 à 10.000,5.6,5.6,CC des Coteaux du Girou,4.8,Moins de 20.000,8.5,7,9.8,18,14.5,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1.51096122339414,43.7010799700766,0101000020E61000001E0800ADE52CF83F09AE0BFDBCD94540,9018,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31274,Larcan,181,1,5.5,Moins de 2000,7.9,5.6,CC du Saint Gaudinois,6.7,20.000 à 50.000,5.7,1,2.5,20,20.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722234622460187,43.1712162695443,0101000020E6100000522C70C88B1CE73F321E2B6AEA954540,9019,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31276,Larroque,309,2,6.5,Moins de 2000,7.9,5.6,CC du Boulonnais,7.3,Moins de 20.000,8.5,2,2.5,9,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.613794676621946,43.1958176863571,0101000020E6100000DC9AD1BB34A4E33FEA70CF8D10994540,9020,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31277,Lasserre,932,8,8.6,Moins de 2000,7.9,5.6,CC de la Save au Touch,4.2,20.000 à 50.000,5.7,5,2.5,18,20.1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1.19138940658291,43.6351056713684,0101000020E6100000EE30A156EE0FF33F050484244BD14540,9021,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31278,Latoue,323,1,3.1,Moins de 2000,7.9,5.6,CC du Canton d'Aurignac,4.7,Moins de 20.000,8.5,1,2.5,7,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.781982698965262,43.1724835816034,0101000020E6100000E1FEC2940006E93FB20A27F113964540,9022,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31281,Launac,1267,5,3.9,Moins de 2000,7.9,5.6,CC de Save et Garonne,5.3,20.000 à 50.000,5.7,4,2.5,19,20.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1.17075237800145,43.7502079430451,0101000020E6100000F4AF73D866BBF23F004A5AD006E04540,9023,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31282,Launaguet,7149,20,2.8,2.000 à 10.000,5.6,5.6,CU Toulouse Métropole,3.4,Plus de 250.000,3,9,9.8,28,26.5,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,1,0,4,0,0,0,1.45491295162355,43.6694230065097,0101000020E6100000E8FF9BCD5247F73F181330A7AFD54540,9024,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31283,Lautignac,286,4,14,Moins de 2000,7.9,5.6,CC du Savès,4,Moins de 20.000,8.5,4,2.5,14,14.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.06345055716119,43.3792223827677,0101000020E610000082B93EBBE403F13F01F3E95B8AB04540,9025,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31284,Lauzerville,1291,9,7,Moins de 2000,7.9,5.6,CA du Sicoval,4.8,50.000 à 100.000,4.7,8,2.5,21,22.7,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1.56647884899923,43.5580679112819,0101000020E6100000183D25204C10F93F8FF3F1C46EC74540,9026,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31285,Lavalette,622,7,11.3,Moins de 2000,7.9,5.6,CC des Coteaux du Girou,4.8,Moins de 20.000,8.5,4,2.5,18,14.5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1.59244088442566,43.6391431558523,0101000020E610000091BEF64AA37AF93F87EC6371CFD14540,9027,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31286,Lavelanet-de-Comminges,558,3,5.4,Moins de 2000,7.9,5.6,CC du Volvestre,4.6,20.000 à 50.000,5.7,2,2.5,17,20.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.1152947968415,43.2526766250807,0101000020E6100000D0545D5B3FD8F13FB79728B557A04540,9028,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31287,Lavernose-Lacasse,2699,7,2.6,2.000 à 10.000,5.6,5.6,CA du Muretain,4.2,50.000 à 100.000,4.7,4,9.8,24,22.7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1.24644684361162,43.3911657107053,0101000020E6100000B73AD83E72F1F33FDF65CFB711B24540,9029,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31288,Layrac-sur-Tarn,329,3,9.1,Moins de 2000,7.9,5.6,CC Val'Aïgo,6.6,Moins de 20.000,8.5,3,2.5,17,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.56220746718176,43.8341171467911,0101000020E61000006DCDD141CDFEF83F1440C559C4EA4540,9030,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31289,Lécussan,289,2,6.9,Moins de 2000,7.9,5.6,CC Nebouzan-Rivière-Verdun,5.4,Moins de 20.000,8.5,2,2.5,13,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.492549506867642,43.1550478611354,0101000020E6100000A813EA5DEE85DF3F1672BA9BD8934540,9031,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31291,Léguevin,8475,35,4.1,2.000 à 10.000,5.6,5.6,CC de la Save au Touch,4.2,20.000 à 50.000,5.7,15,9.8,18,20.1,2,1,0,0,4,0,0,1,3,3,0,0,0,1,0,0,2,1,3,1,2,0,0,0,1,1,9,0,0,0,1.22954861721146,43.5919129578211,0101000020E6100000703EBC2B3BACF33FCBF5C5CDC3CB4540,9032,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31292,Lescuns,57,1,17.5,Moins de 2000,7.9,5.6,CC du Canton de Cazères,5.9,Moins de 20.000,8.5,1,2.5,16,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.00501046366841,43.2450295358718,0101000020E6100000757F19DA8514F03FCD8FB9205D9F4540,9033,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31293,Lespinasse,2526,8,3.2,2.000 à 10.000,5.6,5.6,CU Toulouse Métropole,3.4,Plus de 250.000,3,5,9.8,28,26.5,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1.38246714231751,43.7162194628448,0101000020E6100000C4C5C0DD951EF63FABD65014ADDB4540,9034,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31296,Lestelle-de-Saint-Martory,445,2,4.5,Moins de 2000,7.9,5.6,CC du Canton de Saint-Martory,6.3,Moins de 20.000,8.5,2,2.5,7,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.902072593639214,43.1188667944862,0101000020E6100000DA8B0958C7DDEC3F0573F106378F4540,9035,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31297,Lévignac,2018,10,5,2.000 à 10.000,5.6,5.6,CC de la Save au Touch,4.2,20.000 à 50.000,5.7,6,9.8,18,20.1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,1.20349171996782,43.6593526872909,0101000020E6100000174CA4888041F33FD9383AAB65D44540,9036,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31298,Lez,62,7,112.9,Moins de 2000,7.9,5.6,CC du Canton de Saint Béat,10.3,Moins de 20.000,8.5,6,2.5,15,14.5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0.706189565256279,42.9083060789249,0101000020E61000006DABF1DB1A99E63FC7DEA35F43744540,9037,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31299,Lherm,3417,17,5,2.000 à 10.000,5.6,5.6,CC du Savès,4,Moins de 20.000,8.5,9,9.8,14,14.5,0,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,2,1,0,0,1.22314970891942,43.4293011712587,0101000020E6100000B7BBDE6D0592F33F66583D57F3B64540,9038,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31300,Lieoux,118,1,8.5,Moins de 2000,7.9,5.6,CC du Saint Gaudinois,6.7,20.000 à 50.000,5.7,1,2.5,20,20.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774084364058238,43.1495250443577,0101000020E6100000F0337F924CC5E83F82B9FBA223934540,9039,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31301,Lilhac,132,3,22.7,Moins de 2000,7.9,5.6,CC des Portes du Comminges,5.2,Moins de 20.000,8.5,3,2.5,8,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.809258940759468,43.2851635874738,0101000020E61000002DD7910173E5E93FE11A8D3D80A44540,9040,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31303,Longages,2650,10,3.8,2.000 à 10.000,5.6,5.6,CC de Garonne - Louge,3.5,Moins de 20.000,8.5,4,9.8,9,14.5,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.21465508739001,43.3573145702084,0101000020E61000006E29442C3A6FF33FF6B6DC7BBCAD4540,9041,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31304,Loubens-Lauragais,417,3,7.2,Moins de 2000,7.9,5.6,CC Coeur Lauragais,5.7,Moins de 20.000,8.5,3,2.5,14,14.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.78370808443628,43.5739800494263,0101000020E6100000EC3B047D118AFC3FD46BA22D78C94540,9042,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31305,Loudet,206,2,9.7,Moins de 2000,7.9,5.6,CC Nebouzan-Rivière-Verdun,5.4,Moins de 20.000,8.5,1,2.5,13,14.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576526264068771,43.140048381407,0101000020E6100000DBBB2E35E772E23F1A00F91AED914540,9043,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31306,Lourde,98,1,10.2,Moins de 2000,7.9,5.6,CC du Haut Comminges,7.4,Moins de 20.000,8.5,1,2.5,13,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657840042416171,42.9846753902112,0101000020E610000096A7858F060DE53F0B11DBD7097E4540,9044,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31309,Lussan-Adeilhac,229,4,17.5,Moins de 2000,7.9,5.6,CC de la Louge et du Touch,8.1,Moins de 20.000,8.5,4,2.5,8,14.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.951663075387047,43.2958726603785,0101000020E61000000A24331F0674EE3F970DC427DFA54540,9045,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31311,Magdelaine-sur-Tarn,1006,9,8.9,Moins de 2000,7.9,5.6,CC Val'Aïgo,6.6,Moins de 20.000,8.5,6,2.5,17,14.5,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.53538566513625,43.8133739653144,0101000020E6100000511E288FF090F83FBA385AA31CE84540,9046,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31315,Mane,988,9,9.1,Moins de 2000,7.9,5.6,CC du Canton de Salies-du-Salat,6.2,Moins de 20.000,8.5,5,2.5,15,14.5,1,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.946094797669912,43.0804510572956,0101000020E6100000690EDD986846EE3FB10162384C8A4540,9047,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31316,Marignac,530,8,15.1,Moins de 2000,7.9,5.6,CC du Canton de Saint Béat,10.3,Moins de 20.000,8.5,6,2.5,15,14.5,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0.666327079940493,42.8946828416391,0101000020E61000003613192B8D52E53FEF90A4F784724540,9048,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31317,Marignac-Lasclares,410,1,2.4,Moins de 2000,7.9,5.6,CC de la Louge et du Touch,8.1,Moins de 20.000,8.5,1,2.5,8,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.10604895566269,43.3046223023165,0101000020E6100000118AC56360B2F13F720A15DDFDA64540,9049,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31318,Marignac-Laspeyres,196,1,5.1,Moins de 2000,7.9,5.6,CC du Canton de Cazères,5.9,Moins de 20.000,8.5,1,2.5,16,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961876050773511,43.2126817776095,0101000020E610000079179C48B0C7EE3FDBA40F28399B4540,9050,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31320,Marquefave,1031,3,2.9,Moins de 2000,7.9,5.6,CC du Volvestre,4.6,20.000 à 50.000,5.7,2,2.5,17,20.1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2589348220331,43.3096968478179,0101000020E61000000BD806D79824F43FAD867425A4A74540,9051,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31323,Martres-de-Rivière,386,3,7.8,Moins de 2000,7.9,5.6,CC du Haut Comminges,7.4,Moins de 20.000,8.5,3,2.5,13,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.64466837932098,43.0827795159807,0101000020E6100000A65DBE941FA1E43F39F5E884988A4540,9052,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31324,Martres-Tolosane,2231,18,8.1,2.000 à 10.000,5.6,5.6,CC du Canton de Cazères,5.9,Moins de 20.000,8.5,10,9.8,16,14.5,1,2,0,1,5,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,1.0016420601102,43.2021493844427,0101000020E6100000C18A27D3B906F03F418BF107E0994540,9053,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31325,Mascarville,183,2,10.9,Moins de 2000,7.9,5.6,CC Coeur Lauragais,5.7,Moins de 20.000,8.5,1,2.5,14,14.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75300737044166,43.5583682319233,0101000020E6100000291ADB74510CFC3F339E379C78C74540,9054,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31327,Mauran,178,2,11.2,Moins de 2000,7.9,5.6,CC du Canton de Cazères,5.9,Moins de 20.000,8.5,2,2.5,16,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02278757256912,43.1846783634689,0101000020E610000097086F80565DF03F59B0658AA3974540,9055,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31328,Mauremont,318,3,9.4,Moins de 2000,7.9,5.6,CC Cap Lauragais CC du Canton de Villefranche de Lauragais,5.3,Moins de 20.000,8.5,3,2.5,15,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.68091576500919,43.4558994572223,0101000020E610000084B9E0ED07E5FA3F5884D5E95ABA4540,9056,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31331,Maureville,301,1,3.3,Moins de 2000,7.9,5.6,CC Coeur Lauragais,5.7,Moins de 20.000,8.5,1,2.5,14,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.71425762463277,43.5295282229194,0101000020E610000057762B67996DFB3FB9DFAF94C7C34540,9057,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31332,Mauvaisin,223,2,9,Moins de 2000,7.9,5.6,CC Coteaux du Lauragais Sud (CO.LAUR.SUD),6.2,Moins de 20.000,8.5,2,2.5,11,14.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.53837445044052,43.3594803893331,0101000020E6100000D94D1A872E9DF83F98DE117403AE4540,9058,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31334,Mauzac,1111,5,4.5,Moins de 2000,7.9,5.6,CC de Garonne - Louge,3.5,Moins de 20.000,8.5,4,2.5,9,14.5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.30248372224167,43.3757262633553,0101000020E6100000EA9AE92BF9D6F43FFDAD56CC17B04540,9059,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31336,Mazères-sur-Salat,593,2,3.4,Moins de 2000,7.9,5.6,CC du Canton de Salies-du-Salat,6.2,Moins de 20.000,8.5,2,2.5,15,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.964084503802075,43.1329489637497,0101000020E61000002D21CDBEC7D9EE3FC8ABBD7804914540,9060,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31338,Menville,574,1,1.7,Moins de 2000,7.9,5.6,CC de Save et Garonne,5.3,20.000 à 50.000,5.7,1,2.5,19,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.18796518096033,43.6794378115662,0101000020E6100000722E10C7E701F33FDC2B76D1F7D64540,9061,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31339,Mérenvielle,472,5,10.6,Moins de 2000,7.9,5.6,CC de la Save au Touch,4.2,20.000 à 50.000,5.7,3,2.5,18,20.1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.16773489041943,43.6204307727173,0101000020E610000058FECBC70AAFF23F5C208B466ACF4540,9062,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31341,Merville,4783,13,2.7,2.000 à 10.000,5.6,5.6,CC de Save et Garonne,5.3,20.000 à 50.000,5.7,8,9.8,19,20.1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,4,0,0,0,1.295887581007,43.722103343482,0101000020E61000005B7BBB9DF4BBF43F314BE2E16DDC4540,9063,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
31342,Milhas,175,1,5.7,Moins de 2000,7.9,5.6,CC des Trois Vallées,11,Moins de 20.000,8.5,1,2.5,12,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.827571251707657,42.9779007859478,0101000020E6100000A636A6B4767BEA3F73305BDA2B7D4540,9064,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
