concession_id,event_id,nom_equipement,nom_stand,type_stand,recette_nourriture_boisson_eur,recette_merchandising_eur,panier_moyen_par_spectateur_eur
CNS-00781,EVT-STADE-2025-0157,Complexe Bréquigny,Buvette Tribune Nord,Restauration / Buvette,35651.6,0.0,2.46
CNS-00782,EVT-STADE-2025-0157,Complexe Bréquigny,Buvette Tribune Sud,Restauration / Buvette,33860.21,0.0,2.33
CNS-00783,EVT-STADE-2025-0157,Complexe Bréquigny,Boutique Officielle Club,Boutique Merchandising,0.0,103126.54,7.11
CNS-00784,EVT-STADE-2025-0157,Complexe Bréquigny,Bar VIP Loges Prestige,Bar VIP Loges,110019.49,31195.19,9.74
CNS-00785,EVT-STADE-2025-0157,Complexe Bréquigny,Stand Snacking Parvis,Restauration / Buvette,45437.76,0.0,3.13
CNS-00786,EVT-STADE-2025-0158,Roazhon Park,Buvette Tribune Nord,Restauration / Buvette,300386.41,0.0,4.06
CNS-00787,EVT-STADE-2025-0158,Roazhon Park,Buvette Tribune Sud,Restauration / Buvette,190304.08,0.0,2.57
CNS-00788,EVT-STADE-2025-0158,Roazhon Park,Boutique Officielle Club,Boutique Merchandising,0.0,356490.68,4.82
CNS-00789,EVT-STADE-2025-0158,Roazhon Park,Bar VIP Loges Prestige,Bar VIP Loges,556132.91,247370.82,10.87
CNS-00790,EVT-STADE-2025-0158,Roazhon Park,Stand Snacking Parvis,Restauration / Buvette,305332.0,0.0,4.13
CNS-00791,EVT-STADE-2025-0159,Orange Vélodrome,Buvette Tribune Nord,Restauration / Buvette,120821.01,0.0,4.29
CNS-00792,EVT-STADE-2025-0159,Orange Vélodrome,Buvette Tribune Sud,Restauration / Buvette,125513.36,0.0,4.45
CNS-00793,EVT-STADE-2025-0159,Orange Vélodrome,Boutique Officielle Club,Boutique Merchandising,0.0,214536.8,7.61
CNS-00794,EVT-STADE-2025-0159,Orange Vélodrome,Bar VIP Loges Prestige,Bar VIP Loges,188910.7,35813.91,7.98
CNS-00795,EVT-STADE-2025-0159,Orange Vélodrome,Stand Snacking Parvis,Restauration / Buvette,74603.74,0.0,2.65
CNS-00796,EVT-STADE-2025-0160,LDLC Arena,Buvette Tribune Nord,Restauration / Buvette,25626.44,0.0,2.3
CNS-00797,EVT-STADE-2025-0160,LDLC Arena,Buvette Tribune Sud,Restauration / Buvette,46563.73,0.0,4.18
CNS-00798,EVT-STADE-2025-0160,LDLC Arena,Boutique Officielle Club,Boutique Merchandising,0.0,115145.23,10.33
CNS-00799,EVT-STADE-2025-0160,LDLC Arena,Bar VIP Loges Prestige,Bar VIP Loges,125718.04,17878.72,12.88
CNS-00800,EVT-STADE-2025-0160,LDLC Arena,Stand Snacking Parvis,Restauration / Buvette,45058.75,0.0,4.04
CNS-00801,EVT-STADE-2025-0161,Accor Arena,Buvette Tribune Nord,Restauration / Buvette,80755.24,0.0,4.13
CNS-00802,EVT-STADE-2025-0161,Accor Arena,Buvette Tribune Sud,Restauration / Buvette,76277.02,0.0,3.9
CNS-00803,EVT-STADE-2025-0161,Accor Arena,Boutique Officielle Club,Boutique Merchandising,0.0,149105.43,7.63
CNS-00804,EVT-STADE-2025-0161,Accor Arena,Bar VIP Loges Prestige,Bar VIP Loges,159669.79,23074.12,9.35
CNS-00805,EVT-STADE-2025-0161,Accor Arena,Stand Snacking Parvis,Restauration / Buvette,46474.64,0.0,2.38
CNS-00806,EVT-STADE-2025-0162,Stade Pierre-Mauroy,Buvette Tribune Nord,Restauration / Buvette,73701.59,0.0,2.73
CNS-00807,EVT-STADE-2025-0162,Stade Pierre-Mauroy,Buvette Tribune Sud,Restauration / Buvette,73006.24,0.0,2.71
CNS-00808,EVT-STADE-2025-0162,Stade Pierre-Mauroy,Boutique Officielle Club,Boutique Merchandising,0.0,174192.86,6.46
CNS-00809,EVT-STADE-2025-0162,Stade Pierre-Mauroy,Bar VIP Loges Prestige,Bar VIP Loges,200270.81,55217.58,9.47
CNS-00810,EVT-STADE-2025-0162,Stade Pierre-Mauroy,Stand Snacking Parvis,Restauration / Buvette,86264.62,0.0,3.2
CNS-00811,EVT-STADE-2025-0163,Parc des Princes,Buvette Tribune Nord,Restauration / Buvette,83148.16,0.0,3.7
CNS-00812,EVT-STADE-2025-0163,Parc des Princes,Buvette Tribune Sud,Restauration / Buvette,59006.88,0.0,2.63
CNS-00813,EVT-STADE-2025-0163,Parc des Princes,Boutique Officielle Club,Boutique Merchandising,0.0,166465.18,7.41
CNS-00814,EVT-STADE-2025-0163,Parc des Princes,Bar VIP Loges Prestige,Bar VIP Loges,231578.73,34444.31,11.84
CNS-00815,EVT-STADE-2025-0163,Parc des Princes,Stand Snacking Parvis,Restauration / Buvette,94599.67,0.0,4.21
CNS-00816,EVT-STADE-2025-0164,Stadium de Toulouse,Buvette Tribune Nord,Restauration / Buvette,29492.35,0.0,2.22
CNS-00817,EVT-STADE-2025-0164,Stadium de Toulouse,Buvette Tribune Sud,Restauration / Buvette,29553.24,0.0,2.23
CNS-00818,EVT-STADE-2025-0164,Stadium de Toulouse,Boutique Officielle Club,Boutique Merchandising,0.0,77708.64,5.86
CNS-00819,EVT-STADE-2025-0164,Stadium de Toulouse,Bar VIP Loges Prestige,Bar VIP Loges,156622.82,51025.77,15.66
CNS-00820,EVT-STADE-2025-0164,Stadium de Toulouse,Stand Snacking Parvis,Restauration / Buvette,43815.09,0.0,3.3
CNS-00821,EVT-STADE-2025-0165,Arena du Pays d'Aix,Buvette Tribune Nord,Restauration / Buvette,104070.98,0.0,2.88
CNS-00822,EVT-STADE-2025-0165,Arena du Pays d'Aix,Buvette Tribune Sud,Restauration / Buvette,133113.44,0.0,3.69
CNS-00823,EVT-STADE-2025-0165,Arena du Pays d'Aix,Boutique Officielle Club,Boutique Merchandising,0.0,221743.78,6.15
CNS-00824,EVT-STADE-2025-0165,Arena du Pays d'Aix,Bar VIP Loges Prestige,Bar VIP Loges,260978.16,73298.83,9.27
CNS-00825,EVT-STADE-2025-0165,Arena du Pays d'Aix,Stand Snacking Parvis,Restauration / Buvette,141941.55,0.0,3.93
CNS-00826,EVT-STADE-2025-0166,Complexe Sportif de Marcq,Buvette Tribune Nord,Restauration / Buvette,128666.39,0.0,2.49
CNS-00827,EVT-STADE-2025-0166,Complexe Sportif de Marcq,Buvette Tribune Sud,Restauration / Buvette,125328.73,0.0,2.42
CNS-00828,EVT-STADE-2025-0166,Complexe Sportif de Marcq,Boutique Officielle Club,Boutique Merchandising,0.0,240571.62,4.65
CNS-00829,EVT-STADE-2025-0166,Complexe Sportif de Marcq,Bar VIP Loges Prestige,Bar VIP Loges,696670.86,86993.99,15.14
CNS-00830,EVT-STADE-2025-0166,Complexe Sportif de Marcq,Stand Snacking Parvis,Restauration / Buvette,191632.71,0.0,3.7
CNS-00831,EVT-STADE-2025-0167,Stade Chaban-Delmas,Buvette Tribune Nord,Restauration / Buvette,231353.54,0.0,4.37
CNS-00832,EVT-STADE-2025-0167,Stade Chaban-Delmas,Buvette Tribune Sud,Restauration / Buvette,225887.86,0.0,4.27
CNS-00833,EVT-STADE-2025-0167,Stade Chaban-Delmas,Boutique Officielle Club,Boutique Merchandising,0.0,299653.54,5.66
CNS-00834,EVT-STADE-2025-0167,Stade Chaban-Delmas,Bar VIP Loges Prestige,Bar VIP Loges,387326.1,132586.31,9.82
CNS-00835,EVT-STADE-2025-0167,Stade Chaban-Delmas,Stand Snacking Parvis,Restauration / Buvette,231153.83,0.0,4.37
CNS-00836,EVT-STADE-2025-0168,Palais des Sports Saint-Sauveur,Buvette Tribune Nord,Restauration / Buvette,42168.33,0.0,4.39
CNS-00837,EVT-STADE-2025-0168,Palais des Sports Saint-Sauveur,Buvette Tribune Sud,Restauration / Buvette,27885.11,0.0,2.9
CNS-00838,EVT-STADE-2025-0168,Palais des Sports Saint-Sauveur,Boutique Officielle Club,Boutique Merchandising,0.0,75065.65,7.81
CNS-00839,EVT-STADE-2025-0168,Palais des Sports Saint-Sauveur,Bar VIP Loges Prestige,Bar VIP Loges,107641.85,32485.14,14.58
CNS-00840,EVT-STADE-2025-0168,Palais des Sports Saint-Sauveur,Stand Snacking Parvis,Restauration / Buvette,36994.19,0.0,3.85
CNS-00841,EVT-STADE-2025-0169,Palais des Sports André-Brouat,Buvette Tribune Nord,Restauration / Buvette,60752.29,0.0,3.53
CNS-00842,EVT-STADE-2025-0169,Palais des Sports André-Brouat,Buvette Tribune Sud,Restauration / Buvette,72364.29,0.0,4.21
CNS-00843,EVT-STADE-2025-0169,Palais des Sports André-Brouat,Boutique Officielle Club,Boutique Merchandising,0.0,132419.4,7.7
CNS-00844,EVT-STADE-2025-0169,Palais des Sports André-Brouat,Bar VIP Loges Prestige,Bar VIP Loges,93309.43,27486.13,7.02
CNS-00845,EVT-STADE-2025-0169,Palais des Sports André-Brouat,Stand Snacking Parvis,Restauration / Buvette,50557.57,0.0,2.94
CNS-00846,EVT-STADE-2025-0170,Orange Vélodrome,Buvette Tribune Nord,Restauration / Buvette,74125.23,0.0,2.72
CNS-00847,EVT-STADE-2025-0170,Orange Vélodrome,Buvette Tribune Sud,Restauration / Buvette,61745.1,0.0,2.26
CNS-00848,EVT-STADE-2025-0170,Orange Vélodrome,Boutique Officielle Club,Boutique Merchandising,0.0,168110.68,6.16
CNS-00849,EVT-STADE-2025-0170,Orange Vélodrome,Bar VIP Loges Prestige,Bar VIP Loges,199073.15,109158.37,11.29
CNS-00850,EVT-STADE-2025-0170,Orange Vélodrome,Stand Snacking Parvis,Restauration / Buvette,79574.97,0.0,2.91
CNS-00851,EVT-STADE-2025-0171,Stade Chaban-Delmas,Buvette Tribune Nord,Restauration / Buvette,111090.97,0.0,2.85
CNS-00852,EVT-STADE-2025-0171,Stade Chaban-Delmas,Buvette Tribune Sud,Restauration / Buvette,104704.47,0.0,2.69
CNS-00853,EVT-STADE-2025-0171,Stade Chaban-Delmas,Boutique Officielle Club,Boutique Merchandising,0.0,339954.44,8.73
CNS-00854,EVT-STADE-2025-0171,Stade Chaban-Delmas,Bar VIP Loges Prestige,Bar VIP Loges,314390.59,97547.03,10.58
CNS-00855,EVT-STADE-2025-0171,Stade Chaban-Delmas,Stand Snacking Parvis,Restauration / Buvette,155222.72,0.0,3.99
CNS-00856,EVT-STADE-2025-0172,Groupama Stadium,Buvette Tribune Nord,Restauration / Buvette,82904.98,0.0,3.62
CNS-00857,EVT-STADE-2025-0172,Groupama Stadium,Buvette Tribune Sud,Restauration / Buvette,98638.93,0.0,4.3
CNS-00858,EVT-STADE-2025-0172,Groupama Stadium,Boutique Officielle Club,Boutique Merchandising,0.0,198249.26,8.65
CNS-00859,EVT-STADE-2025-0172,Groupama Stadium,Bar VIP Loges Prestige,Bar VIP Loges,213777.98,56993.77,11.81
CNS-00860,EVT-STADE-2025-0172,Groupama Stadium,Stand Snacking Parvis,Restauration / Buvette,88092.09,0.0,3.84
CNS-00861,EVT-STADE-2025-0173,Palais des Sports André-Brouat,Buvette Tribune Nord,Restauration / Buvette,65475.44,0.0,2.83
CNS-00862,EVT-STADE-2025-0173,Palais des Sports André-Brouat,Buvette Tribune Sud,Restauration / Buvette,77580.64,0.0,3.35
CNS-00863,EVT-STADE-2025-0173,Palais des Sports André-Brouat,Boutique Officielle Club,Boutique Merchandising,0.0,133297.7,5.76
CNS-00864,EVT-STADE-2025-0173,Palais des Sports André-Brouat,Bar VIP Loges Prestige,Bar VIP Loges,284345.79,72118.24,15.41
CNS-00865,EVT-STADE-2025-0173,Palais des Sports André-Brouat,Stand Snacking Parvis,Restauration / Buvette,70386.84,0.0,3.04
CNS-00866,EVT-STADE-2025-0174,Palais des Sports Saint-Sauveur,Buvette Tribune Nord,Restauration / Buvette,36448.48,0.0,2.79
CNS-00867,EVT-STADE-2025-0174,Palais des Sports Saint-Sauveur,Buvette Tribune Sud,Restauration / Buvette,49947.8,0.0,3.83
CNS-00868,EVT-STADE-2025-0174,Palais des Sports Saint-Sauveur,Boutique Officielle Club,Boutique Merchandising,0.0,65308.15,5.0
CNS-00869,EVT-STADE-2025-0174,Palais des Sports Saint-Sauveur,Bar VIP Loges Prestige,Bar VIP Loges,109528.1,47617.93,12.04
CNS-00870,EVT-STADE-2025-0174,Palais des Sports Saint-Sauveur,Stand Snacking Parvis,Restauration / Buvette,57303.66,0.0,4.39
CNS-00871,EVT-STADE-2025-0175,Le Liberté,Buvette Tribune Nord,Restauration / Buvette,49735.05,0.0,3.99
CNS-00872,EVT-STADE-2025-0175,Le Liberté,Buvette Tribune Sud,Restauration / Buvette,35429.06,0.0,2.84
CNS-00873,EVT-STADE-2025-0175,Le Liberté,Boutique Officielle Club,Boutique Merchandising,0.0,72613.19,5.82
CNS-00874,EVT-STADE-2025-0175,Le Liberté,Bar VIP Loges Prestige,Bar VIP Loges,147640.79,35210.63,14.65
CNS-00875,EVT-STADE-2025-0175,Le Liberté,Stand Snacking Parvis,Restauration / Buvette,43357.68,0.0,3.47
CNS-00876,EVT-STADE-2025-0176,Stade Chaban-Delmas,Buvette Tribune Nord,Restauration / Buvette,236948.28,0.0,4.02
CNS-00877,EVT-STADE-2025-0176,Stade Chaban-Delmas,Buvette Tribune Sud,Restauration / Buvette,137469.67,0.0,2.33
CNS-00878,EVT-STADE-2025-0176,Stade Chaban-Delmas,Boutique Officielle Club,Boutique Merchandising,0.0,506366.79,8.59
CNS-00879,EVT-STADE-2025-0176,Stade Chaban-Delmas,Bar VIP Loges Prestige,Bar VIP Loges,781094.6,213741.66,16.88
CNS-00880,EVT-STADE-2025-0176,Stade Chaban-Delmas,Stand Snacking Parvis,Restauration / Buvette,217206.98,0.0,3.69
CNS-00881,EVT-STADE-2025-0177,Stade Ernest-Wallon,Buvette Tribune Nord,Restauration / Buvette,184826.8,0.0,3.79
CNS-00882,EVT-STADE-2025-0177,Stade Ernest-Wallon,Buvette Tribune Sud,Restauration / Buvette,115101.84,0.0,2.36
CNS-00883,EVT-STADE-2025-0177,Stade Ernest-Wallon,Boutique Officielle Club,Boutique Merchandising,0.0,464429.87,9.52
CNS-00884,EVT-STADE-2025-0177,Stade Ernest-Wallon,Bar VIP Loges Prestige,Bar VIP Loges,605731.44,96491.91,14.4
CNS-00885,EVT-STADE-2025-0177,Stade Ernest-Wallon,Stand Snacking Parvis,Restauration / Buvette,136332.04,0.0,2.79
CNS-00886,EVT-STADE-2025-0178,LDLC Arena,Buvette Tribune Nord,Restauration / Buvette,34660.47,0.0,3.46
CNS-00887,EVT-STADE-2025-0178,LDLC Arena,Buvette Tribune Sud,Restauration / Buvette,40373.69,0.0,4.03
CNS-00888,EVT-STADE-2025-0178,LDLC Arena,Boutique Officielle Club,Boutique Merchandising,0.0,35092.65,3.5
CNS-00889,EVT-STADE-2025-0178,LDLC Arena,Bar VIP Loges Prestige,Bar VIP Loges,76728.01,31107.25,10.76
CNS-00890,EVT-STADE-2025-0178,LDLC Arena,Stand Snacking Parvis,Restauration / Buvette,44570.71,0.0,4.45
CNS-00891,EVT-STADE-2025-0179,Parc des Princes,Buvette Tribune Nord,Restauration / Buvette,37171.63,0.0,2.14
CNS-00892,EVT-STADE-2025-0179,Parc des Princes,Buvette Tribune Sud,Restauration / Buvette,52835.15,0.0,3.05
CNS-00893,EVT-STADE-2025-0179,Parc des Princes,Boutique Officielle Club,Boutique Merchandising,0.0,88885.88,5.12
CNS-00894,EVT-STADE-2025-0179,Parc des Princes,Bar VIP Loges Prestige,Bar VIP Loges,100543.57,29118.66,7.47
CNS-00895,EVT-STADE-2025-0179,Parc des Princes,Stand Snacking Parvis,Restauration / Buvette,54777.4,0.0,3.16
CNS-00896,EVT-STADE-2025-0180,Rhenus Sport,Buvette Tribune Nord,Restauration / Buvette,190767.04,0.0,3.56
CNS-00897,EVT-STADE-2025-0180,Rhenus Sport,Buvette Tribune Sud,Restauration / Buvette,136802.73,0.0,2.55
CNS-00898,EVT-STADE-2025-0180,Rhenus Sport,Boutique Officielle Club,Boutique Merchandising,0.0,512842.58,9.56
CNS-00899,EVT-STADE-2025-0180,Rhenus Sport,Bar VIP Loges Prestige,Bar VIP Loges,395627.08,72535.65,8.73
CNS-00900,EVT-STADE-2025-0180,Rhenus Sport,Stand Snacking Parvis,Restauration / Buvette,189860.38,0.0,3.54
CNS-00901,EVT-STADE-2025-0181,Palais des Sports Saint-Sauveur,Buvette Tribune Nord,Restauration / Buvette,23787.64,0.0,2.38
CNS-00902,EVT-STADE-2025-0181,Palais des Sports Saint-Sauveur,Buvette Tribune Sud,Restauration / Buvette,25942.2,0.0,2.6
CNS-00903,EVT-STADE-2025-0181,Palais des Sports Saint-Sauveur,Boutique Officielle Club,Boutique Merchandising,0.0,74811.19,7.5
CNS-00904,EVT-STADE-2025-0181,Palais des Sports Saint-Sauveur,Bar VIP Loges Prestige,Bar VIP Loges,87316.41,23539.22,11.11
CNS-00905,EVT-STADE-2025-0181,Palais des Sports Saint-Sauveur,Stand Snacking Parvis,Restauration / Buvette,32620.96,0.0,3.27
CNS-00906,EVT-STADE-2025-0182,Stade de la Beaujoire,Buvette Tribune Nord,Restauration / Buvette,44856.06,0.0,2.9
CNS-00907,EVT-STADE-2025-0182,Stade de la Beaujoire,Buvette Tribune Sud,Restauration / Buvette,39065.29,0.0,2.52
CNS-00908,EVT-STADE-2025-0182,Stade de la Beaujoire,Boutique Officielle Club,Boutique Merchandising,0.0,150783.93,9.74
CNS-00909,EVT-STADE-2025-0182,Stade de la Beaujoire,Bar VIP Loges Prestige,Bar VIP Loges,167757.5,44521.26,13.72
CNS-00910,EVT-STADE-2025-0182,Stade de la Beaujoire,Stand Snacking Parvis,Restauration / Buvette,37435.72,0.0,2.42
CNS-00911,EVT-STADE-2025-0183,Stade Chaban-Delmas,Buvette Tribune Nord,Restauration / Buvette,219625.95,0.0,3.72
CNS-00912,EVT-STADE-2025-0183,Stade Chaban-Delmas,Buvette Tribune Sud,Restauration / Buvette,175135.49,0.0,2.97
CNS-00913,EVT-STADE-2025-0183,Stade Chaban-Delmas,Boutique Officielle Club,Boutique Merchandising,0.0,404734.03,6.86
CNS-00914,EVT-STADE-2025-0183,Stade Chaban-Delmas,Bar VIP Loges Prestige,Bar VIP Loges,558442.11,166584.17,12.29
CNS-00915,EVT-STADE-2025-0183,Stade Chaban-Delmas,Stand Snacking Parvis,Restauration / Buvette,262530.0,0.0,4.45
CNS-00916,EVT-STADE-2025-0184,Complexe Mangin-Beaulieu,Buvette Tribune Nord,Restauration / Buvette,201850.91,0.0,2.91
CNS-00917,EVT-STADE-2025-0184,Complexe Mangin-Beaulieu,Buvette Tribune Sud,Restauration / Buvette,209033.65,0.0,3.01
CNS-00918,EVT-STADE-2025-0184,Complexe Mangin-Beaulieu,Boutique Officielle Club,Boutique Merchandising,0.0,434068.96,6.25
CNS-00919,EVT-STADE-2025-0184,Complexe Mangin-Beaulieu,Bar VIP Loges Prestige,Bar VIP Loges,512688.15,101324.24,8.84
CNS-00920,EVT-STADE-2025-0184,Complexe Mangin-Beaulieu,Stand Snacking Parvis,Restauration / Buvette,228788.33,0.0,3.29
CNS-00921,EVT-STADE-2025-0185,Rhenus Sport,Buvette Tribune Nord,Restauration / Buvette,126417.4,0.0,3.29
CNS-00922,EVT-STADE-2025-0185,Rhenus Sport,Buvette Tribune Sud,Restauration / Buvette,118335.06,0.0,3.08
CNS-00923,EVT-STADE-2025-0185,Rhenus Sport,Boutique Officielle Club,Boutique Merchandising,0.0,445835.26,11.59
CNS-00924,EVT-STADE-2025-0185,Rhenus Sport,Bar VIP Loges Prestige,Bar VIP Loges,326472.2,49066.18,9.76
CNS-00925,EVT-STADE-2025-0185,Rhenus Sport,Stand Snacking Parvis,Restauration / Buvette,110828.69,0.0,2.88
CNS-00926,EVT-STADE-2025-0186,Accor Arena,Buvette Tribune Nord,Restauration / Buvette,70688.36,0.0,4.12
CNS-00927,EVT-STADE-2025-0186,Accor Arena,Buvette Tribune Sud,Restauration / Buvette,38128.17,0.0,2.22
CNS-00928,EVT-STADE-2025-0186,Accor Arena,Boutique Officielle Club,Boutique Merchandising,0.0,133997.89,7.81
CNS-00929,EVT-STADE-2025-0186,Accor Arena,Bar VIP Loges Prestige,Bar VIP Loges,121442.28,63101.3,10.76
CNS-00930,EVT-STADE-2025-0186,Accor Arena,Stand Snacking Parvis,Restauration / Buvette,67003.09,0.0,3.91
CNS-00931,EVT-STADE-2025-0187,Arkéa Arena,Buvette Tribune Nord,Restauration / Buvette,80555.37,0.0,3.91
CNS-00932,EVT-STADE-2025-0187,Arkéa Arena,Buvette Tribune Sud,Restauration / Buvette,66682.82,0.0,3.24
CNS-00933,EVT-STADE-2025-0187,Arkéa Arena,Boutique Officielle Club,Boutique Merchandising,0.0,181774.21,8.82
CNS-00934,EVT-STADE-2025-0187,Arkéa Arena,Bar VIP Loges Prestige,Bar VIP Loges,107658.49,49158.07,7.61
CNS-00935,EVT-STADE-2025-0187,Arkéa Arena,Stand Snacking Parvis,Restauration / Buvette,62120.44,0.0,3.02
CNS-00936,EVT-STADE-2025-0188,Stade Pierre-Mauroy,Buvette Tribune Nord,Restauration / Buvette,80332.78,0.0,2.5
CNS-00937,EVT-STADE-2025-0188,Stade Pierre-Mauroy,Buvette Tribune Sud,Restauration / Buvette,81518.85,0.0,2.54
CNS-00938,EVT-STADE-2025-0188,Stade Pierre-Mauroy,Boutique Officielle Club,Boutique Merchandising,0.0,348116.62,10.85
CNS-00939,EVT-STADE-2025-0188,Stade Pierre-Mauroy,Bar VIP Loges Prestige,Bar VIP Loges,259713.56,50139.93,9.65
CNS-00940,EVT-STADE-2025-0188,Stade Pierre-Mauroy,Stand Snacking Parvis,Restauration / Buvette,127525.76,0.0,3.97
CNS-00941,EVT-STADE-2025-0189,Stade de Gerland,Buvette Tribune Nord,Restauration / Buvette,273872.52,0.0,4.09
CNS-00942,EVT-STADE-2025-0189,Stade de Gerland,Buvette Tribune Sud,Restauration / Buvette,294432.15,0.0,4.39
CNS-00943,EVT-STADE-2025-0189,Stade de Gerland,Boutique Officielle Club,Boutique Merchandising,0.0,463346.4,6.91
CNS-00944,EVT-STADE-2025-0189,Stade de Gerland,Bar VIP Loges Prestige,Bar VIP Loges,401217.53,89516.12,7.32
CNS-00945,EVT-STADE-2025-0189,Stade de Gerland,Stand Snacking Parvis,Restauration / Buvette,161578.65,0.0,2.41
CNS-00946,EVT-STADE-2025-0190,Stade des Alpes,Buvette Tribune Nord,Restauration / Buvette,35834.95,0.0,2.57
CNS-00947,EVT-STADE-2025-0190,Stade des Alpes,Buvette Tribune Sud,Restauration / Buvette,61527.12,0.0,4.42
CNS-00948,EVT-STADE-2025-0190,Stade des Alpes,Boutique Officielle Club,Boutique Merchandising,0.0,96929.45,6.96
CNS-00949,EVT-STADE-2025-0190,Stade des Alpes,Bar VIP Loges Prestige,Bar VIP Loges,110522.79,16312.85,9.11
CNS-00950,EVT-STADE-2025-0190,Stade des Alpes,Stand Snacking Parvis,Restauration / Buvette,38973.29,0.0,2.8
CNS-00951,EVT-STADE-2025-0191,Matmut Atlantique,Buvette Tribune Nord,Restauration / Buvette,64818.03,0.0,2.38
CNS-00952,EVT-STADE-2025-0191,Matmut Atlantique,Buvette Tribune Sud,Restauration / Buvette,113466.06,0.0,4.17
CNS-00953,EVT-STADE-2025-0191,Matmut Atlantique,Boutique Officielle Club,Boutique Merchandising,0.0,317537.14,11.68
CNS-00954,EVT-STADE-2025-0191,Matmut Atlantique,Bar VIP Loges Prestige,Bar VIP Loges,233112.02,74407.99,11.31
CNS-00955,EVT-STADE-2025-0191,Matmut Atlantique,Stand Snacking Parvis,Restauration / Buvette,68631.91,0.0,2.52
CNS-00956,EVT-STADE-2025-0192,Patinoire Pôle Sud,Buvette Tribune Nord,Restauration / Buvette,41028.31,0.0,3.8
CNS-00957,EVT-STADE-2025-0192,Patinoire Pôle Sud,Buvette Tribune Sud,Restauration / Buvette,36413.31,0.0,3.37
CNS-00958,EVT-STADE-2025-0192,Patinoire Pôle Sud,Boutique Officielle Club,Boutique Merchandising,0.0,60410.93,5.59
CNS-00959,EVT-STADE-2025-0192,Patinoire Pôle Sud,Bar VIP Loges Prestige,Bar VIP Loges,133540.5,28863.53,15.04
CNS-00960,EVT-STADE-2025-0192,Patinoire Pôle Sud,Stand Snacking Parvis,Restauration / Buvette,40303.31,0.0,3.73
CNS-00961,EVT-STADE-2025-0193,Palais des Sports de Marseille,Buvette Tribune Nord,Restauration / Buvette,84989.55,0.0,2.93
CNS-00962,EVT-STADE-2025-0193,Palais des Sports de Marseille,Buvette Tribune Sud,Restauration / Buvette,88136.98,0.0,3.04
CNS-00963,EVT-STADE-2025-0193,Palais des Sports de Marseille,Boutique Officielle Club,Boutique Merchandising,0.0,237014.36,8.17
CNS-00964,EVT-STADE-2025-0193,Palais des Sports de Marseille,Bar VIP Loges Prestige,Bar VIP Loges,175199.49,57291.03,8.01
CNS-00965,EVT-STADE-2025-0193,Palais des Sports de Marseille,Stand Snacking Parvis,Restauration / Buvette,113081.31,0.0,3.9
CNS-00966,EVT-STADE-2025-0194,Arkéa Arena,Buvette Tribune Nord,Restauration / Buvette,72685.11,0.0,4.17
CNS-00967,EVT-STADE-2025-0194,Arkéa Arena,Buvette Tribune Sud,Restauration / Buvette,53528.74,0.0,3.07
CNS-00968,EVT-STADE-2025-0194,Arkéa Arena,Boutique Officielle Club,Boutique Merchandising,0.0,80501.55,4.62
CNS-00969,EVT-STADE-2025-0194,Arkéa Arena,Bar VIP Loges Prestige,Bar VIP Loges,126968.05,25063.07,8.72
CNS-00970,EVT-STADE-2025-0194,Arkéa Arena,Stand Snacking Parvis,Restauration / Buvette,41134.76,0.0,2.36
CNS-00971,EVT-STADE-2025-0195,Stadium de Toulouse,Buvette Tribune Nord,Restauration / Buvette,35870.28,0.0,3.64
CNS-00972,EVT-STADE-2025-0195,Stadium de Toulouse,Buvette Tribune Sud,Restauration / Buvette,21500.73,0.0,2.18
CNS-00973,EVT-STADE-2025-0195,Stadium de Toulouse,Boutique Officielle Club,Boutique Merchandising,0.0,41736.96,4.24
CNS-00974,EVT-STADE-2025-0195,Stadium de Toulouse,Bar VIP Loges Prestige,Bar VIP Loges,84969.64,22028.8,10.86
CNS-00975,EVT-STADE-2025-0195,Stadium de Toulouse,Stand Snacking Parvis,Restauration / Buvette,25138.33,0.0,2.55
CNS-00976,EVT-STADE-2025-0196,Arena du Pays d'Aix,Buvette Tribune Nord,Restauration / Buvette,88627.89,0.0,2.15
CNS-00977,EVT-STADE-2025-0196,Arena du Pays d'Aix,Buvette Tribune Sud,Restauration / Buvette,127044.52,0.0,3.08
CNS-00978,EVT-STADE-2025-0196,Arena du Pays d'Aix,Boutique Officielle Club,Boutique Merchandising,0.0,275227.76,6.68
CNS-00979,EVT-STADE-2025-0196,Arena du Pays d'Aix,Bar VIP Loges Prestige,Bar VIP Loges,228023.97,109503.97,8.19
CNS-00980,EVT-STADE-2025-0196,Arena du Pays d'Aix,Stand Snacking Parvis,Restauration / Buvette,89979.61,0.0,2.18
CNS-00981,EVT-STADE-2025-0197,Patinoire Pôle Sud,Buvette Tribune Nord,Restauration / Buvette,27737.66,0.0,3.02
CNS-00982,EVT-STADE-2025-0197,Patinoire Pôle Sud,Buvette Tribune Sud,Restauration / Buvette,29992.9,0.0,3.27
CNS-00983,EVT-STADE-2025-0197,Patinoire Pôle Sud,Boutique Officielle Club,Boutique Merchandising,0.0,64642.67,7.04
CNS-00984,EVT-STADE-2025-0197,Patinoire Pôle Sud,Bar VIP Loges Prestige,Bar VIP Loges,48597.94,11530.8,6.55
CNS-00985,EVT-STADE-2025-0197,Patinoire Pôle Sud,Stand Snacking Parvis,Restauration / Buvette,38500.64,0.0,4.19
