ligne_axe_id,nom_axe_ferroviaire,gare_depart,gare_arrivee,service_type,region,duree_moyenne_trajet_minutes,circulations_prevues_nombre,nombre_trains_annules,retard_moyen_minutes,taux_regularite_ponctualite_pct,cause_retard_infrastructure_pct,cause_retard_materiel_roulant_pct,cause_retard_gestion_trafic_pct,perte_financiere_retards_eur
AXE-TGV-03723,LE MANS - PARIS MONTPARNASSE,LE MANS,PARIS MONTPARNASSE,TGV InOui,National TGV,152.6,355,12,5.0,94.1,25.2,24.6,50.2,257974.43
AXE-TGV-03724,POITIERS - PARIS MONTPARNASSE,POITIERS,PARIS MONTPARNASSE,TGV InOui,National TGV,172.3,287,16,2.4,93.2,18.8,35.8,45.4,151153.68
AXE-TGV-03725,PARIS MONTPARNASSE - QUIMPER,PARIS MONTPARNASSE,QUIMPER,TGV InOui,National TGV,69.4,145,10,2.6,91.8,29.1,30.7,40.2,87511.86
AXE-TGV-03726,TOULOUSE MATABIAU - PARIS MONTPARNASSE,TOULOUSE MATABIAU,PARIS MONTPARNASSE,TGV InOui,National TGV,95.9,161,3,2.0,97.1,24.6,41.6,33.8,50915.82
AXE-TGV-03727,TOURS - PARIS MONTPARNASSE,TOURS,PARIS MONTPARNASSE,TGV InOui,National TGV,102.5,98,9,1.4,90.1,29.3,27.8,42.9,55598.85
AXE-TGV-03728,REIMS - PARIS EST,REIMS,PARIS EST,TGV InOui,National TGV,237.6,144,12,0.8,91.3,28.2,28.2,43.6,66750.22
AXE-TGV-03729,PARIS NORD - ARRAS,PARIS NORD,ARRAS,TGV InOui,National TGV,80.2,164,31,3.3,79.4,25.8,41.4,32.8,192730.03
AXE-TGV-03730,DOUAI - PARIS NORD,DOUAI,PARIS NORD,TGV InOui,National TGV,143.6,51,10,1.6,79.6,19.9,22.9,57.2,52794.56
AXE-TGV-03731,PARIS NORD - DUNKERQUE,PARIS NORD,DUNKERQUE,TGV InOui,National TGV,142.9,79,8,2.6,88.6,24.6,41.9,33.5,58291.78
AXE-TGV-03732,LYON PART DIEU - LILLE,LYON PART DIEU,LILLE,TGV InOui,National TGV,239.2,191,14,6.0,89.7,19.5,22.6,57.9,191208.31
AXE-TGV-03733,MARSEILLE ST CHARLES - LILLE,MARSEILLE ST CHARLES,LILLE,TGV InOui,National TGV,121.8,161,8,3.6,93.2,30.3,27.9,41.8,102941.75
AXE-TGV-03734,MARNE LA VALLEE - MARSEILLE ST CHARLES,MARNE LA VALLEE,MARSEILLE ST CHARLES,TGV InOui,National TGV,201.1,191,11,6.7,90.9,21.7,34.2,44.1,195267.06
AXE-TGV-03735,ANNECY - PARIS LYON,ANNECY,PARIS LYON,TGV InOui,National TGV,184.8,79,5,0.6,93.4,26.2,26.1,47.7,28198.0
AXE-TGV-03736,PARIS LYON - BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN),TGV InOui,National TGV,235.2,86,10,0.6,88.1,30.2,23.0,46.8,50824.0
AXE-TGV-03737,MARSEILLE ST CHARLES - PARIS LYON,MARSEILLE ST CHARLES,PARIS LYON,TGV InOui,National TGV,231.7,371,17,6.9,92.0,18.9,28.4,52.7,369534.56
AXE-TGV-03738,PARIS LYON - MULHOUSE VILLE,PARIS LYON,MULHOUSE VILLE,TGV InOui,National TGV,94.0,165,11,1.3,92.7,21.7,38.9,39.4,74230.03
AXE-TGV-03739,PARIS LYON - PERPIGNAN,PARIS LYON,PERPIGNAN,TGV InOui,National TGV,238.3,93,10,0.7,88.9,27.6,31.1,41.3,52393.73
AXE-TGV-03740,PERPIGNAN - PARIS LYON,PERPIGNAN,PARIS LYON,TGV InOui,National TGV,106.1,79,11,4.0,84.1,19.5,30.0,50.5,82133.52
AXE-TGV-03741,PARIS LYON - VALENCE ALIXAN TGV,PARIS LYON,VALENCE ALIXAN TGV,TGV InOui,National TGV,74.9,187,14,2.0,91.5,31.5,36.5,32.0,104664.17
AXE-TGV-03742,LYON PART DIEU - MONTPELLIER,LYON PART DIEU,MONTPELLIER,TGV InOui,National TGV,140.7,74,7,15.0,83.0,18.5,36.4,45.1,152305.96
AXE-TGV-03743,PARIS EST - FRANCFORT,PARIS EST,FRANCFORT,TGV InOui,National TGV,109.3,60,7,4.2,86.2,26.4,26.5,47.1,58247.33
AXE-TGV-03744,PARIS EST - STUTTGART,PARIS EST,STUTTGART,TGV InOui,National TGV,95.6,100,2,0.0,98.0,27.9,23.1,49.0,9000.0
AXE-TGV-03745,PARIS LYON - BARCELONA,PARIS LYON,BARCELONA,TGV InOui,National TGV,170.8,50,3,2.0,93.0,27.3,33.9,38.8,24914.29
AXE-TGV-03746,PARIS MONTPARNASSE - ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD,TGV InOui,National TGV,191.8,358,14,1.8,95.2,19.4,32.4,48.2,136957.45
AXE-TGV-03747,BREST - PARIS MONTPARNASSE,BREST,PARIS MONTPARNASSE,TGV InOui,National TGV,78.1,191,8,5.3,93.2,27.9,28.2,43.9,152192.38
AXE-TGV-03748,PARIS MONTPARNASSE - NANTES,PARIS MONTPARNASSE,NANTES,TGV InOui,National TGV,72.7,374,20,1.8,93.7,26.0,33.7,40.3,167078.78
AXE-TGV-03749,PARIS MONTPARNASSE - POITIERS,PARIS MONTPARNASSE,POITIERS,TGV InOui,National TGV,91.8,382,15,2.5,94.8,21.1,34.6,44.3,176401.85
AXE-TGV-03750,QUIMPER - PARIS MONTPARNASSE,QUIMPER,PARIS MONTPARNASSE,TGV InOui,National TGV,171.3,154,8,1.4,94.1,18.7,22.4,58.9,60968.86
AXE-TGV-03751,ST MALO - PARIS MONTPARNASSE,ST MALO,PARIS MONTPARNASSE,TGV InOui,National TGV,72.6,52,3,1.7,93.4,29.1,40.6,30.3,23638.33
AXE-TGV-03752,PARIS MONTPARNASSE - TOURS,PARIS MONTPARNASSE,TOURS,TGV InOui,National TGV,112.9,105,8,1.5,91.6,21.3,34.0,44.7,53123.73
AXE-TGV-03753,PARIS EST - METZ,PARIS EST,METZ,TGV InOui,National TGV,105.5,175,16,1.6,90.1,19.9,38.3,41.8,102391.71
AXE-TGV-03754,METZ - PARIS EST,METZ,PARIS EST,TGV InOui,National TGV,89.3,171,13,3.9,90.4,32.4,25.8,41.8,133052.81
AXE-TGV-03755,PARIS EST - REIMS,PARIS EST,REIMS,TGV InOui,National TGV,69.1,166,8,1.3,94.5,25.3,22.3,52.4,61220.46
AXE-TGV-03756,STRASBOURG - PARIS EST,STRASBOURG,PARIS EST,TGV InOui,National TGV,130.3,265,19,2.6,91.5,29.2,41.5,29.3,163058.47
AXE-TGV-03757,STRASBOURG - NANTES,STRASBOURG,NANTES,TGV InOui,National TGV,196.8,24,2,1.1,91.1,23.8,35.7,40.5,11888.6
AXE-TGV-03758,NANTES - STRASBOURG,NANTES,STRASBOURG,TGV InOui,National TGV,121.4,26,2,111.5,75.0,28.6,26.5,44.9,330114.67
AXE-TGV-03759,DUNKERQUE - PARIS NORD,DUNKERQUE,PARIS NORD,TGV InOui,National TGV,228.7,95,7,2.0,91.6,23.6,32.5,43.9,52620.0
AXE-TGV-03760,LILLE - MARSEILLE ST CHARLES,LILLE,MARSEILLE ST CHARLES,TGV InOui,National TGV,212.4,169,10,6.7,90.7,32.7,26.0,41.3,172412.0
AXE-TGV-03761,TOURCOING - BORDEAUX ST JEAN,TOURCOING,BORDEAUX ST JEAN,TGV InOui,National TGV,83.8,7,1,246.4,75.0,30.3,22.2,47.5,181896.0
AXE-TGV-03762,CHAMBERY CHALLES LES EAUX - PARIS LYON,CHAMBERY CHALLES LES EAUX,PARIS LYON,TGV InOui,National TGV,105.9,126,6,13.4,88.5,20.2,27.0,52.8,219668.24
AXE-TGV-03763,PARIS LYON - LYON PART DIEU,PARIS LYON,LYON PART DIEU,TGV InOui,National TGV,230.0,448,21,2.9,93.9,28.4,38.6,33.0,242696.03
AXE-TGV-03764,MACON LOCHE - PARIS LYON,MACON LOCHE,PARIS LYON,TGV InOui,National TGV,90.6,153,10,14.9,86.0,29.2,24.4,46.4,301326.96
AXE-TGV-03765,PARIS LYON - MARSEILLE ST CHARLES,PARIS LYON,MARSEILLE ST CHARLES,TGV InOui,National TGV,104.9,395,17,3.1,94.1,32.5,26.8,40.7,219013.82
AXE-TGV-03766,PARIS LYON - MONTPELLIER,PARIS LYON,MONTPELLIER,TGV InOui,National TGV,102.9,148,7,2.2,94.2,29.0,28.5,42.5,68971.47
AXE-TGV-03767,MONTPELLIER - PARIS LYON,MONTPELLIER,PARIS LYON,TGV InOui,National TGV,225.8,171,9,5.1,92.2,21.4,37.9,40.7,140596.43
AXE-TGV-03768,LYON PART DIEU - MARSEILLE ST CHARLES,LYON PART DIEU,MARSEILLE ST CHARLES,TGV InOui,National TGV,180.2,250,21,7.5,87.8,32.6,38.2,29.2,301851.37
AXE-TGV-03769,MARSEILLE ST CHARLES - LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU,TGV InOui,National TGV,126.7,256,18,3.1,91.4,26.1,40.8,33.1,170107.94
AXE-TGV-03770,PARIS LYON - LAUSANNE,PARIS LYON,LAUSANNE,TGV InOui,National TGV,143.7,68,7,1.0,89.2,27.6,33.9,38.5,39056.38
AXE-TGV-03771,PARIS LYON - ZURICH,PARIS LYON,ZURICH,TGV InOui,National TGV,220.8,79,7,1.1,90.6,27.2,38.1,34.7,41213.83
AXE-TGV-03772,ZURICH - PARIS LYON,ZURICH,PARIS LYON,TGV InOui,National TGV,134.5,75,7,2.2,89.6,30.2,33.7,36.1,49564.14
AXE-TGV-03773,BARCELONA - PARIS LYON,BARCELONA,PARIS LYON,TGV InOui,National TGV,141.6,58,3,8.1,90.8,28.2,26.2,45.6,66969.71
AXE-TGV-03774,PARIS MONTPARNASSE - BORDEAUX ST JEAN,PARIS MONTPARNASSE,BORDEAUX ST JEAN,TGV InOui,National TGV,178.9,708,9,3.4,97.0,29.3,31.8,38.9,327681.37
AXE-TGV-03775,LAVAL - PARIS MONTPARNASSE,LAVAL,PARIS MONTPARNASSE,TGV InOui,National TGV,165.4,212,0,4.3,97.9,29.4,30.5,40.1,109117.47
AXE-TGV-03776,POITIERS - PARIS MONTPARNASSE,POITIERS,PARIS MONTPARNASSE,TGV InOui,National TGV,142.5,378,1,4.6,97.5,20.1,34.4,45.5,210516.29
AXE-TGV-03777,PARIS MONTPARNASSE - RENNES,PARIS MONTPARNASSE,RENNES,TGV InOui,National TGV,92.2,614,5,3.1,97.6,19.6,25.7,54.7,247647.3
AXE-TGV-03778,RENNES - PARIS MONTPARNASSE,RENNES,PARIS MONTPARNASSE,TGV InOui,National TGV,136.0,564,4,4.7,96.9,27.1,28.8,44.1,335018.11
AXE-TGV-03779,PARIS MONTPARNASSE - VANNES,PARIS MONTPARNASSE,VANNES,TGV InOui,National TGV,151.0,259,1,3.5,97.9,28.4,33.6,38.0,113484.63
AXE-TGV-03780,RENNES - LYON PART DIEU,RENNES,LYON PART DIEU,TGV InOui,National TGV,133.3,87,3,6.4,93.4,23.2,38.3,38.5,77977.24
AXE-TGV-03781,METZ - PARIS EST,METZ,PARIS EST,TGV InOui,National TGV,156.3,243,8,4.2,94.6,33.7,27.0,39.3,154563.68
AXE-TGV-03782,REIMS - PARIS EST,REIMS,PARIS EST,TGV InOui,National TGV,135.5,192,6,2.8,95.5,31.8,32.3,35.9,90188.33
AXE-TGV-03783,STRASBOURG - NANTES,STRASBOURG,NANTES,TGV InOui,National TGV,95.2,48,2,1.8,94.9,25.3,39.5,35.2,18775.74
AXE-TGV-03784,PARIS NORD - LILLE,PARIS NORD,LILLE,TGV InOui,National TGV,131.8,489,14,1.3,96.5,32.8,31.7,35.5,138513.71
AXE-TGV-03785,LILLE - PARIS NORD,LILLE,PARIS NORD,TGV InOui,National TGV,194.5,473,12,2.8,96.1,32.3,40.6,27.1,207868.53
AXE-TGV-03786,PARIS LYON - AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV,TGV InOui,National TGV,87.3,416,12,3.8,95.2,18.8,41.6,39.6,240540.27
AXE-TGV-03787,PARIS LYON - AVIGNON TGV,PARIS LYON,AVIGNON TGV,TGV InOui,National TGV,175.5,471,13,4.5,95.0,33.2,24.8,42.0,308117.94
AXE-TGV-03788,PARIS LYON - BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN),TGV InOui,National TGV,186.3,203,8,3.0,94.6,27.1,32.7,40.2,105552.77
AXE-TGV-03789,CHAMBERY CHALLES LES EAUX - PARIS LYON,CHAMBERY CHALLES LES EAUX,PARIS LYON,TGV InOui,National TGV,129.7,112,2,11.4,92.5,32.9,38.0,29.1,158833.89
AXE-TGV-03790,PARIS LYON - GRENOBLE,PARIS LYON,GRENOBLE,TGV InOui,National TGV,165.1,114,5,1.7,94.8,20.2,38.8,41.0,44541.57
AXE-TGV-03791,LYON PART DIEU - PARIS LYON,LYON PART DIEU,PARIS LYON,TGV InOui,National TGV,208.5,579,14,2.9,96.1,19.6,27.6,52.8,262043.89
AXE-TGV-03792,MONTPELLIER - PARIS LYON,MONTPELLIER,PARIS LYON,TGV InOui,National TGV,201.0,232,5,7.5,94.1,32.9,27.7,39.4,227528.61
AXE-TGV-03793,MULHOUSE VILLE - PARIS LYON,MULHOUSE VILLE,PARIS LYON,TGV InOui,National TGV,122.3,233,9,3.0,94.6,21.8,33.6,44.6,122070.67
AXE-TGV-03794,NICE VILLE - PARIS LYON,NICE VILLE,PARIS LYON,TGV InOui,National TGV,91.9,274,5,3.0,96.7,28.6,39.4,32.0,119253.23
AXE-TGV-03795,MARSEILLE ST CHARLES - LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU,TGV InOui,National TGV,140.2,387,11,5.4,94.5,25.0,34.1,40.9,291499.93
AXE-TGV-03796,LYON PART DIEU - MONTPELLIER,LYON PART DIEU,MONTPELLIER,TGV InOui,National TGV,142.8,183,7,5.6,93.4,33.8,36.5,29.7,149096.73
AXE-TGV-03797,PARIS EST - FRANCFORT,PARIS EST,FRANCFORT,TGV InOui,National TGV,197.3,124,4,3.3,95.1,32.4,41.1,26.5,65136.52
AXE-TGV-03798,PARIS LYON - BARCELONA,PARIS LYON,BARCELONA,TGV InOui,National TGV,106.9,36,2,3.9,92.5,33.4,23.1,43.5,24968.67
AXE-TGV-03799,PARIS MONTPARNASSE - BREST,PARIS MONTPARNASSE,BREST,TGV InOui,National TGV,70.2,203,1,4.2,97.4,18.4,34.3,47.3,106310.64
AXE-TGV-03800,QUIMPER - PARIS MONTPARNASSE,QUIMPER,PARIS MONTPARNASSE,TGV InOui,National TGV,237.9,246,1,1.8,98.7,24.6,40.6,34.8,58353.01
AXE-TGV-03801,TOULOUSE MATABIAU - PARIS MONTPARNASSE,TOULOUSE MATABIAU,PARIS MONTPARNASSE,TGV InOui,National TGV,238.4,192,1,14.7,92.1,32.5,24.2,43.3,341794.93
AXE-TGV-03802,PARIS MONTPARNASSE - TOURS,PARIS MONTPARNASSE,TOURS,TGV InOui,National TGV,133.9,150,1,2.6,98.0,33.2,34.4,32.4,51745.63
AXE-TGV-03803,PARIS EST - METZ,PARIS EST,METZ,TGV InOui,National TGV,77.3,240,8,1.9,95.7,33.0,26.5,40.5,88485.54
AXE-TGV-03804,ARRAS - PARIS NORD,ARRAS,PARIS NORD,TGV InOui,National TGV,218.0,247,10,5.5,93.2,28.2,28.6,43.2,200522.16
AXE-TGV-03805,DOUAI - PARIS NORD,DOUAI,PARIS NORD,TGV InOui,National TGV,78.2,127,5,1.6,95.3,19.8,34.0,46.2,45810.8
AXE-TGV-03806,LYON PART DIEU - LILLE,LYON PART DIEU,LILLE,TGV InOui,National TGV,89.1,232,7,7.7,93.1,29.3,26.7,44.0,238942.74
AXE-TGV-03807,MARNE LA VALLEE - LYON PART DIEU,MARNE LA VALLEE,LYON PART DIEU,TGV InOui,National TGV,186.4,300,6,4.6,95.7,26.9,35.6,37.5,187526.22
AXE-TGV-03808,AIX EN PROVENCE TGV - PARIS LYON,AIX EN PROVENCE TGV,PARIS LYON,TGV InOui,National TGV,103.5,369,7,4.8,95.7,26.7,26.2,47.1,241166.14
AXE-TGV-03809,LE CREUSOT MONTCEAU MONTCHANIN - PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,TGV InOui,National TGV,229.3,210,4,3.5,96.3,21.6,39.3,39.1,104479.51
AXE-TGV-03810,PARIS LYON - LYON PART DIEU,PARIS LYON,LYON PART DIEU,TGV InOui,National TGV,89.3,583,16,1.9,96.3,22.4,23.3,54.3,202959.97
AXE-TGV-03811,PARIS LYON - MACON LOCHE,PARIS LYON,MACON LOCHE,TGV InOui,National TGV,123.8,159,4,0.9,97.0,22.8,31.8,45.4,35449.24
AXE-TGV-03812,PARIS LYON - MULHOUSE VILLE,PARIS LYON,MULHOUSE VILLE,TGV InOui,National TGV,137.0,251,10,2.6,94.7,26.1,34.0,39.9,119061.79
AXE-TGV-03813,PARIS LYON - PERPIGNAN,PARIS LYON,PERPIGNAN,TGV InOui,National TGV,105.6,225,4,3.0,96.7,32.6,29.6,37.8,98141.06
AXE-TGV-03814,VALENCE ALIXAN TGV - PARIS LYON,VALENCE ALIXAN TGV,PARIS LYON,TGV InOui,National TGV,69.9,356,8,9.1,93.2,30.4,36.5,33.1,415296.72
AXE-TGV-03815,MONTPELLIER - LYON PART DIEU,MONTPELLIER,LYON PART DIEU,TGV InOui,National TGV,171.6,162,7,4.7,93.3,30.8,39.4,29.8,118273.8
AXE-TGV-03816,FRANCFORT - PARIS EST,FRANCFORT,PARIS EST,TGV InOui,National TGV,67.5,117,6,2.9,93.4,28.3,41.5,30.2,65779.48
AXE-TGV-03817,PARIS EST - STUTTGART,PARIS EST,STUTTGART,TGV InOui,National TGV,79.3,54,2,3.0,94.8,30.3,36.0,33.7,27833.04
AXE-TGV-03818,GENEVE - PARIS LYON,GENEVE,PARIS LYON,TGV InOui,National TGV,226.3,187,7,2.4,95.1,23.8,35.7,40.5,82611.96
AXE-TGV-03819,ITALIE - PARIS LYON,ITALIE,PARIS LYON,TGV InOui,National TGV,207.2,66,1,4.8,96.1,23.6,29.0,47.4,42221.31
AXE-TGV-03820,PARIS MONTPARNASSE - ANGOULEME,PARIS MONTPARNASSE,ANGOULEME,TGV InOui,National TGV,123.9,294,1,4.3,97.5,24.9,27.0,48.1,156360.33
AXE-TGV-03821,LA ROCHELLE VILLE - PARIS MONTPARNASSE,LA ROCHELLE VILLE,PARIS MONTPARNASSE,TGV InOui,National TGV,83.4,233,0,1.1,99.5,32.0,22.2,45.8,30354.93
AXE-TGV-03822,LE MANS - PARIS MONTPARNASSE,LE MANS,PARIS MONTPARNASSE,TGV InOui,National TGV,118.2,392,2,4.6,97.2,30.7,37.9,31.4,223074.77
AXE-TGV-03823,PARIS MONTPARNASSE - TOULOUSE MATABIAU,PARIS MONTPARNASSE,TOULOUSE MATABIAU,TGV InOui,National TGV,215.6,182,1,3.0,97.9,29.1,30.0,40.9,69765.39
AXE-TGV-03824,TOURS - PARIS MONTPARNASSE,TOURS,PARIS MONTPARNASSE,TGV InOui,National TGV,143.4,157,6,3.4,94.5,25.5,26.4,48.1,88190.95
AXE-TGV-03825,VANNES - PARIS MONTPARNASSE,VANNES,PARIS MONTPARNASSE,TGV InOui,National TGV,77.6,267,2,2.8,97.9,19.2,39.3,41.5,97469.58
AXE-TGV-03826,PARIS NORD - DOUAI,PARIS NORD,DOUAI,TGV InOui,National TGV,162.7,124,2,1.9,97.5,30.2,23.2,46.6,36334.48
AXE-TGV-03827,PARIS NORD - DUNKERQUE,PARIS NORD,DUNKERQUE,TGV InOui,National TGV,121.5,144,1,1.7,98.4,19.5,23.3,57.2,34041.86
AXE-TGV-03828,LILLE - MARSEILLE ST CHARLES,LILLE,MARSEILLE ST CHARLES,TGV InOui,National TGV,86.1,215,2,2.9,97.6,19.4,38.9,41.7,84074.89
AXE-TGV-03829,BORDEAUX ST JEAN - TOURCOING,BORDEAUX ST JEAN,TOURCOING,TGV InOui,National TGV,186.3,31,3,8.7,86.0,31.9,38.2,29.9,42835.38
AXE-TGV-03830,MARNE LA VALLEE - MARSEILLE ST CHARLES,MARNE LA VALLEE,MARSEILLE ST CHARLES,TGV InOui,National TGV,187.7,245,2,3.0,97.7,28.0,33.2,38.8,95919.4
AXE-TGV-03831,BELLEGARDE (AIN) - PARIS LYON,BELLEGARDE (AIN),PARIS LYON,TGV InOui,National TGV,188.3,205,7,2.7,95.2,29.3,27.5,43.2,95601.16
AXE-TGV-03832,MACON LOCHE - PARIS LYON,MACON LOCHE,PARIS LYON,TGV InOui,National TGV,107.1,190,5,7.2,93.8,28.9,29.5,41.6,182089.01
AXE-TGV-03833,MARSEILLE ST CHARLES - PARIS LYON,MARSEILLE ST CHARLES,PARIS LYON,TGV InOui,National TGV,68.8,459,8,9.6,93.5,22.7,36.2,41.1,553695.25
AXE-TGV-03834,STUTTGART - PARIS EST,STUTTGART,PARIS EST,TGV InOui,National TGV,164.0,56,2,4.1,94.4,33.7,22.5,43.8,35845.36
AXE-TGV-03835,PARIS LYON - LAUSANNE,PARIS LYON,LAUSANNE,TGV InOui,National TGV,112.8,134,5,3.4,94.6,28.5,27.9,43.6,74850.55
AXE-TGV-03836,ZURICH - PARIS LYON,ZURICH,PARIS LYON,TGV InOui,National TGV,144.2,127,7,1.9,93.5,26.9,37.7,35.4,59304.0
AXE-TGV-03837,BARCELONA - PARIS LYON,BARCELONA,PARIS LYON,TGV InOui,National TGV,75.5,36,2,13.3,87.8,31.0,27.2,41.8,63072.75
AXE-TGV-03838,ANGERS SAINT LAUD - PARIS MONTPARNASSE,ANGERS SAINT LAUD,PARIS MONTPARNASSE,TGV InOui,National TGV,106.6,459,4,4.1,97.1,32.7,25.6,41.7,239664.44
AXE-TGV-03839,ANGOULEME - PARIS MONTPARNASSE,ANGOULEME,PARIS MONTPARNASSE,TGV InOui,National TGV,150.3,239,0,4.4,97.8,31.1,34.8,34.1,125210.71
AXE-TGV-03840,BORDEAUX ST JEAN - PARIS MONTPARNASSE,BORDEAUX ST JEAN,PARIS MONTPARNASSE,TGV InOui,National TGV,116.5,738,7,10.4,93.9,23.2,38.9,37.9,942625.31
AXE-TGV-03841,BREST - PARIS MONTPARNASSE,BREST,PARIS MONTPARNASSE,TGV InOui,National TGV,184.2,244,2,1.5,98.4,29.6,37.0,33.4,53785.45
AXE-TGV-03842,PARIS MONTPARNASSE - LA ROCHELLE VILLE,PARIS MONTPARNASSE,LA ROCHELLE VILLE,TGV InOui,National TGV,147.7,241,0,3.5,98.3,33.8,35.1,31.1,100151.86
AXE-TGV-03843,PARIS MONTPARNASSE - LE MANS,PARIS MONTPARNASSE,LE MANS,TGV InOui,National TGV,84.9,428,3,3.3,97.7,30.8,30.8,38.4,179524.62
AXE-TGV-03844,PARIS MONTPARNASSE - NANTES,PARIS MONTPARNASSE,NANTES,TGV InOui,National TGV,202.3,445,5,3.4,97.2,23.9,29.8,46.3,200051.27
AXE-TGV-03845,PARIS MONTPARNASSE - POITIERS,PARIS MONTPARNASSE,POITIERS,TGV InOui,National TGV,159.9,489,1,3.5,98.1,22.0,25.6,52.4,206648.79
AXE-TGV-03846,PARIS MONTPARNASSE - QUIMPER,PARIS MONTPARNASSE,QUIMPER,TGV InOui,National TGV,153.1,244,1,3.5,97.9,21.5,24.5,54.0,105566.4
AXE-TGV-03847,PARIS MONTPARNASSE - ST MALO,PARIS MONTPARNASSE,ST MALO,TGV InOui,National TGV,198.3,118,0,1.5,99.3,25.6,38.7,35.7,20892.48
AXE-TGV-03848,ST PIERRE DES CORPS - PARIS MONTPARNASSE,ST PIERRE DES CORPS,PARIS MONTPARNASSE,TGV InOui,National TGV,90.9,441,6,2.5,97.4,23.1,23.2,53.7,156263.28
AXE-TGV-03849,LYON PART DIEU - RENNES,LYON PART DIEU,RENNES,TGV InOui,National TGV,101.3,90,2,8.9,93.3,30.6,37.3,32.1,103029.71
AXE-TGV-03850,PARIS EST - NANCY,PARIS EST,NANCY,TGV InOui,National TGV,236.1,212,5,2.7,96.3,27.3,39.6,33.1,89505.14
AXE-TGV-03851,NANCY - PARIS EST,NANCY,PARIS EST,TGV InOui,National TGV,224.4,236,5,2.5,96.7,21.2,23.0,55.8,90600.05
AXE-TGV-03852,PARIS EST - REIMS,PARIS EST,REIMS,TGV InOui,National TGV,153.3,197,6,2.2,95.9,20.8,41.6,37.6,77197.05
AXE-TGV-03853,NANTES - STRASBOURG,NANTES,STRASBOURG,TGV InOui,National TGV,77.0,49,1,16.6,89.7,31.6,24.2,44.2,100048.0
AXE-TGV-03854,DUNKERQUE - PARIS NORD,DUNKERQUE,PARIS NORD,TGV InOui,National TGV,181.0,123,3,2.0,96.6,29.3,38.6,32.1,42300.0
AXE-TGV-03855,LILLE - LYON PART DIEU,LILLE,LYON PART DIEU,TGV InOui,National TGV,168.2,275,5,3.6,96.4,23.5,42.0,34.5,139774.58
AXE-TGV-03856,MARSEILLE ST CHARLES - TOURCOING,MARSEILLE ST CHARLES,TOURCOING,TGV InOui,National TGV,152.5,26,0,4.1,97.9,29.7,28.4,41.9,12864.8
AXE-TGV-03857,LYON PART DIEU - MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE,TGV InOui,National TGV,215.3,259,8,7.4,93.2,30.3,35.7,34.0,260001.66
AXE-TGV-03858,AVIGNON TGV - PARIS LYON,AVIGNON TGV,PARIS LYON,TGV InOui,National TGV,62.9,460,7,6.3,95.3,24.1,40.5,35.4,371620.64
AXE-TGV-03859,PARIS LYON - BESANCON FRANCHE COMTE TGV,PARIS LYON,BESANCON FRANCHE COMTE TGV,TGV InOui,National TGV,108.8,145,3,1.7,97.1,19.0,26.8,54.2,41707.61
AXE-TGV-03860,DIJON VILLE - PARIS LYON,DIJON VILLE,PARIS LYON,TGV InOui,National TGV,152.0,250,9,3.5,94.7,33.9,32.4,33.7,140714.18
AXE-TGV-03861,GRENOBLE - PARIS LYON,GRENOBLE,PARIS LYON,TGV InOui,National TGV,209.2,118,4,13.0,90.1,33.2,39.8,27.0,195171.2
AXE-TGV-03862,PARIS LYON - MARSEILLE ST CHARLES,PARIS LYON,MARSEILLE ST CHARLES,TGV InOui,National TGV,111.8,512,12,4.9,95.2,20.4,38.9,40.7,345961.75
AXE-TGV-03863,PARIS LYON - MONTPELLIER,PARIS LYON,MONTPELLIER,TGV InOui,National TGV,155.6,218,5,2.4,96.5,26.6,35.5,37.9,83437.59
AXE-TGV-03864,PARIS LYON - NICE VILLE,PARIS LYON,NICE VILLE,TGV InOui,National TGV,126.5,286,7,3.6,95.8,24.5,41.1,34.4,151237.96
AXE-TGV-03865,PERPIGNAN - PARIS LYON,PERPIGNAN,PARIS LYON,TGV InOui,National TGV,161.4,215,5,4.3,95.5,25.6,36.5,37.9,131131.25
AXE-TGV-03866,PARIS LYON - SAINT ETIENNE CHATEAUCREUX,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,TGV InOui,National TGV,103.5,111,4,0.9,96.0,21.2,23.0,55.8,29278.59
AXE-TGV-03867,SAINT ETIENNE CHATEAUCREUX - PARIS LYON,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,TGV InOui,National TGV,89.6,109,3,1.8,96.3,22.1,40.8,37.1,36994.43
AXE-TGV-03868,PARIS LYON - ITALIE,PARIS LYON,ITALIE,TGV InOui,National TGV,200.7,66,1,1.3,97.8,20.9,29.1,50.0,14510.0
AXE-TGV-03869,MADRID - MARSEILLE ST CHARLES,MADRID,MARSEILLE ST CHARLES,TGV InOui,National TGV,76.9,5,1,0.5,79.7,32.4,31.0,36.6,4744.0
