nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesxy,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,consolidated_is_code_insee_modified,geo_point_borne,departement,region
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,FR*FZD,FRFZDP75450002,1590194,FR*FZD/FR*FZD*P75450002,Parking privé à usage public,"8 Allée Erik Satie, Vandœuvre-lès-Nancy 54500 France",,"6.183283, 48.657119",2,FRFZDE754500022,4411436,22.0,False,True,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,"We,Th,Fr,Tu,Mo,Sa  14:00-17:30,Fr,We,Mo,Th,Sa,Tu  09:00-11:30",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.183283,48.657119,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,FR*FZD,FRFZDP78370001,1534828,FR*FZD/FR*FZD*P78370001,Parking public,"15 Rue Descartes, Plaisir 78370 France",,"1.971124, 48.800818",4,FRFZDE783700011,4234210,11.0,False,True,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,"Sa  09:00-16:30,Fr,Th,Mo,We,Tu  08:30-17:30",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,1.971124,48.800818,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,FR*FZD,FRFZDP78370001,1534828,FR*FZD/FR*FZD*P78370001,Parking public,"15 Rue Descartes, Plaisir 78370 France",,"1.971124, 48.800818",4,FRFZDE783700012,4234213,11.0,False,True,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,"Sa  09:00-16:30,Fr,Th,Mo,We,Tu  08:30-17:30",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,1.971124,48.800818,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,FR*FZD,FRFZDP78370002,1582054,FR*FZD/FR*FZD*P78370002,Parking privé à usage public,"15 Rue Descartes, Plaisir 78370 France",,"1.971188, 48.80082",2,FRFZDE783700022,4384096,11.0,False,True,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,"Sa  09:00-16:30,We,Fr,Mo,Tu,Th  08:30-17:30",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,1.971188,48.80082,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,FR*FZD,FRFZDP91080001,1590276,FR*FZD/FR*FZD*P91080001,Parking privé à usage public,"14 Avenue du Bois de l'Épine, Évry-Courcouronnes 91080 France",,"2.406849, 48.630352",3,FRFZDE910800011,4411894,1.8,True,False,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,"We,Mo,Su,Fr,Tu,Sa,Th  06:00-22:30",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.406849,48.630352,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,FR*FZD,FRFZDP91080004,1590314,FR*FZD/FR*FZD*P91080004,Parking privé à usage public,"14 Avenue du Bois de l'Épine, Évry-Courcouronnes 91080 France",,"2.407372, 48.630702",3,FRFZDE910800042,4412042,1.8,True,False,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,"Tu,Fr,Sa,Th,We,Mo,Su  06:00-22:30",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.407372,48.630702,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,Fuzed,FRFZDP95310001,1721451,Fuzed/FR*FZD*P95310001,Parking privé à usage public,"Rue d'Epluches, Saint-Ouen-l'Aumône 95310 France",,"2.120686, 49.058949",6,FRFZDE953100011,4859898,22.0,False,True,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-05-18,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.120686,49.058949,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,Fuzed,FRFZDP95310001,1721451,Fuzed/FR*FZD*P95310001,Parking privé à usage public,"Rue d'Epluches, Saint-Ouen-l'Aumône 95310 France",,"2.120686, 49.058949",6,FRFZDE953100015,4859892,22.0,False,True,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-05-18,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.120686,49.058949,,,False,False,False,,,
Fuzed,,,Fuzed | FR*FZD,contact@fuzed.fr,,FR*FZD,FRFZDP95310002,1752003,FR*FZD/FR*FZD*P95310002,Voirie,"Rue des Préaux, Saint-Ouen-l'Aumône 95310 France",,"2.123804, 49.059505",2,FRFZDE953100021,4961523,22.0,False,True,False,False,False,False,True,True,True,https://www.go-fuzed.com/cgv,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-05,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.123804,49.059505,,,False,False,False,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Perrache,FRG10P69382EA,LPA0706,Parking Perrache,Parking public,37 Cr de Verdun Récamier,69002,"4.828786, 45.749339",1,FRG10E69382EA44,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.8,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.828786,45.749339,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Aéroport Lyon Saint Exupéry P1,FRG10P69123AA,LPA0750,Parking Aéroport Lyon Saint Exupéry P1,Parking public,Aéroport Saint Exupéry P1,69125,"5.076918, 45.719753",2,FRG10S69123AA3,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,5.076918,45.719753,69125.0,Colombier-Saugnieu,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Terreaux,FRG10P69381AA,LPA0729,Parking Terreaux,Parking public,18 rue d'Algérie,69001,"4.832217, 45.767543",1,FRG10S69381AA5,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.832217,45.767543,69001.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Terreaux,FRG10P69381AB,LPA0729,Parking Terreaux,Parking public,18 rue d'Algérie,69001,"4.832217, 45.767543",1,FRG10S69381AB3,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.832217,45.767543,69001.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Terreaux,FRG10P69381AB,LPA0729,Parking Terreaux,Parking public,18 rue d'Algérie,69001,"4.832217, 45.767543",1,FRG10S69381AB5,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.832217,45.767543,69001.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Terreaux,FRG10P69381AB,LPA0729,Parking Terreaux,Parking public,18 rue d'Algérie,69001,"4.832217, 45.767543",1,FRG10S69381AB7,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.832217,45.767543,69001.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA République,FRG10P69381BA,LPA0731,Parking République,Parking public,22 rue Childebert,69002,"4.83689, 45.76011",1,FRG10S69381BA3,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83689,45.76011,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA République,FRG10P69381BA,LPA0731,Parking République,Parking public,22 rue Childebert,69002,"4.83689, 45.76011",1,FRG10S69381BA4,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83689,45.76011,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA République,FRG10P69381BA,LPA0731,Parking République,Parking public,22 rue Childebert,69002,"4.83689, 45.76011",1,FRG10S69381BA7,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83689,45.76011,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA République,FRG10P69381BB,LPA0731,Parking République,Parking public,22 rue Childebert,69002,"4.83689, 45.76011",1,FRG10S69381BB10,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83689,45.76011,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA République,FRG10P69381BB,LPA0731,Parking République,Parking public,22 rue Childebert,69002,"4.83689, 45.76011",1,FRG10S69381BB4,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83689,45.76011,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA République,FRG10P69381BB,LPA0731,Parking République,Parking public,22 rue Childebert,69002,"4.83689, 45.76011",1,FRG10S69381BB5,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83689,45.76011,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA République,FRG10P69381BB,LPA0731,Parking République,Parking public,22 rue Childebert,69002,"4.83689, 45.76011",1,FRG10S69381BB8,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83689,45.76011,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Célestins,FRG10P69382AA,LPA0732,Parking Célestins,Parking public,1 rue Gaspard André,69002,"4.83087, 45.75992",1,FRG10S69382AA2,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83087,45.75992,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Célestins,FRG10P69382AA,LPA0732,Parking Célestins,Parking public,1 rue Gaspard André,69002,"4.83087, 45.75992",1,FRG10S69382AA4,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83087,45.75992,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Célestins,FRG10P69382AB,LPA0732,Parking Célestins,Parking public,1 rue Gaspard André,69002,"4.83087, 45.75992",1,FRG10S69382AB7,,3.4,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.9,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83087,45.75992,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Antonin Poncet,FRG10P69382BA,LPA0724,Parking Antonin Poncet,Parking public,6 Quai Docteur Gailleton,69002,"4.83587, 45.75653",2,FRG10S69382BA3,,3.4,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.8,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83587,45.75653,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA St Antoine,FRG10P69382CA,LPA0766,Parking St Antoine,Parking public,2 quai Saint-Antoine,69002,"4.83194630928916, 45.7643256376921",1,FRG10S69382CA1,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.05,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83194630928916,45.7643256376921,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA St Antoine,FRG10P69382CA,LPA0766,Parking St Antoine,Parking public,2 quai Saint-Antoine,69002,"4.83194630928916, 45.7643256376921",1,FRG10S69382CA11,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.05,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83194630928916,45.7643256376921,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA St Antoine,FRG10P69382CA,LPA0766,Parking St Antoine,Parking public,2 quai Saint-Antoine,69002,"4.83194630928916, 45.7643256376921",1,FRG10S69382CA12,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.05,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83194630928916,45.7643256376921,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA St Antoine,FRG10P69382CA,LPA0766,Parking St Antoine,Parking public,2 quai Saint-Antoine,69002,"4.83194630928916, 45.7643256376921",1,FRG10S69382CA19,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.05,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83194630928916,45.7643256376921,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA St Antoine,FRG10P69382CA,LPA0766,Parking St Antoine,Parking public,2 quai Saint-Antoine,69002,"4.83194630928916, 45.7643256376921",1,FRG10S69382CA20,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.05,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83194630928916,45.7643256376921,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Bourse,FRG10P69382DA,LPA0730,Parking Bourse,Parking public,55 rue de la Bourse,69002,"4.83676, 45.76386",1,FRG10S69382DA1,,3.4,true,false,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.8,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83676,45.76386,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Bourse,FRG10P69382DA,LPA0730,Parking Bourse,Parking public,55 rue de la Bourse,69002,"4.83676, 45.76386",1,FRG10S69382DA4,,3.4,true,false,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.8,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.83676,45.76386,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Marché Gare - La Confluence,FRG10P69382FA,LPA0768,Parking Marché Gare,Parking public,41 quai Perrache,69002,"4.823733, 45.741054",1,FRG10S69382FA1,,22.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.3,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.823733,45.741054,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Marché Gare - La Confluence,FRG10P69382FA,LPA0768,Parking Marché Gare,Parking public,41 quai Perrache,69002,"4.823733, 45.741054",1,FRG10S69382FA10,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.3,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.823733,45.741054,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Marché Gare - La Confluence,FRG10P69382FA,LPA0768,Parking Marché Gare,Parking public,41 quai Perrache,69002,"4.823733, 45.741054",1,FRG10S69382FA3,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.3,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.823733,45.741054,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Marché Gare - La Confluence,FRG10P69382FA,LPA0768,Parking Marché Gare,Parking public,41 quai Perrache,69002,"4.823733, 45.741054",1,FRG10S69382FA5,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.3,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.823733,45.741054,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Marché Gare - La Confluence,FRG10P69382FB,LPA0768,Parking Marché Gare,Parking public,41 quai Perrache,69002,"4.823733, 45.741054",1,FRG10S69382FB2,,22.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.3,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.823733,45.741054,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Marché Gare - La Confluence,FRG10P69382FB,LPA0768,Parking Marché Gare,Parking public,41 quai Perrache,69002,"4.823733, 45.741054",1,FRG10S69382FB5,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.3,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.823733,45.741054,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Marché Gare - La Confluence,FRG10P69382FB,LPA0768,Parking Marché Gare,Parking public,41 quai Perrache,69002,"4.823733, 45.741054",1,FRG10S69382FB8,,7.0,true,true,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,2.3,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.823733,45.741054,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Cordeliers,FRG10P69382GA,LPA0702,Parking Cordeliers,Parking public,11 rue Antoine Salles,69002,"4.837211, 45.764463",1,FRG10S69382GA3,,3.4,true,false,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.8,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.837211,45.764463,69002.0,Lyon,True,True,True,,,
LPA,,webmaster@lpa.fr,e-totem,service@e-totem.fr,04 28 04 42 05,LPA Cordeliers,FRG10P69382GA,LPA0702,Parking Cordeliers,Parking public,11 rue Antoine Salles,69002,"4.837211, 45.764463",1,FRG10S69382GA9,,3.4,true,false,false,false,false,,true,true,true,,Accès réservé,false,24/7,Accessible mais non réservé PMR,1.8,true,Direct,,,,2025-05-01,,2026-07-08T18:02:19+02:00,67e72acde5a89c919fb9a154,bc88cc25-3342-45cf-a7ba-531d18f00793,grand-lyon,2025-05-22T00:04:09+02:00,4.837211,45.764463,69002.0,Lyon,True,True,True,,,
