id_pylone_sensor,id_station_anfr,nom_operateur,commune,temperature_processeur_c,charge_cpu_pct,stabilite_tension_volts,etat_sante_batterie_secours_pct,vibration_mat_mm,probabilite_panne_7j_pct,composant_a_remplacer_prioritaire
SNS-0237,0832290326,Orange,Bordeaux,77.0,33.1,47.33,96.0,3.79,33.4,Aucun (Normal)
SNS-0238,0112290209,SFR,Strasbourg,50.1,29.3,48.55,78.5,2.85,2.0,Aucun (Normal)
SNS-0239,0342290283,SFR,Nantes,68.7,25.3,47.24,85.4,3.28,11.4,Aucun (Normal)
SNS-0240,0542290020,Orange,Bordeaux,73.0,65.3,47.72,89.4,0.19,55.2,Aucun (Normal)
SNS-0241,0442290017,SFR,Bordeaux,51.9,31.8,47.61,83.2,0.84,2.0,Aucun (Normal)
SNS-0242,0372290010,Bouygues Telecom,Annecy,45.8,48.2,47.78,88.2,3.65,2.0,Aucun (Normal)
SNS-0243,0172290008,Free Mobile,Bordeaux,76.5,42.8,47.29,87.5,2.74,41.2,Aucun (Normal)
SNS-0244,0292290019,SFR,Strasbourg,74.8,32.5,48.18,68.8,3.17,28.9,Aucun (Normal)
SNS-0245,0352290011,Bouygues Telecom,Bordeaux,70.4,93.7,48.52,76.4,3.81,76.1,Ventilateur Baie 3.5GHz
SNS-0246,0762290219,SFR,Paris,62.5,61.5,48.27,85.0,1.39,32.9,Aucun (Normal)
SNS-0247,0682290007,SFR,Nantes,75.5,73.6,48.69,92.8,0.62,67.1,Ventilateur Baie 3.5GHz
SNS-0248,0312290020,Orange,Grenoble,45.3,82.3,47.46,70.7,4.12,20.6,Aucun (Normal)
SNS-0249,0462290004,Orange,Toulouse,71.4,33.2,48.07,83.1,4.08,23.4,Aucun (Normal)
SNS-0250,0652290107,Free Mobile,Annecy,61.0,70.5,47.69,96.8,4.09,38.2,Aucun (Normal)
SNS-0251,0932290015,Free Mobile,Montpellier,53.3,32.8,48.55,89.2,2.79,2.0,Aucun (Normal)
SNS-0252,0942290010,Orange,Nantes,56.6,33.4,48.79,80.3,2.35,2.0,Aucun (Normal)
SNS-0253,0752291174,Free Mobile,Rennes,67.5,29.9,48.61,99.6,0.99,13.4,Aucun (Normal)
SNS-0254,0752291529,SFR,Toulouse,46.5,35.3,47.41,87.6,1.32,2.0,Aucun (Normal)
SNS-0255,02B2290011,SFR,Montpellier,57.5,78.0,47.88,74.2,3.46,38.7,Aucun (Normal)
SNS-0256,0912290231,SFR,Strasbourg,58.0,62.6,47.54,90.0,3.78,25.7,Aucun (Normal)
SNS-0257,0772290021,Bouygues Telecom,Annecy,63.1,48.8,48.63,97.5,2.89,22.5,Aucun (Normal)
SNS-0258,0702290007,SFR,Strasbourg,51.9,45.7,47.28,71.4,4.18,2.0,Aucun (Normal)
SNS-0259,0142290187,Free Mobile,Lyon,85.0,79.2,48.51,70.2,4.1,89.3,Liaison FH Réalignement
SNS-0260,0022290018,Free Mobile,Bordeaux,59.7,38.1,48.14,91.4,2.73,6.8,Aucun (Normal)
SNS-0261,0402290009,SFR,Toulouse,82.4,25.1,47.66,73.6,2.65,35.9,Aucun (Normal)
SNS-0262,0332290029,SFR,Paris,80.4,49.0,48.24,93.4,2.86,53.8,Aucun (Normal)
SNS-0263,0632290009,Bouygues Telecom,Paris,44.5,78.1,48.41,84.2,2.69,15.4,Aucun (Normal)
SNS-0264,0712290006,Bouygues Telecom,Grenoble,76.3,95.5,47.76,96.0,1.27,88.3,Carte Alimentation DC
SNS-0265,0592290581,SFR,Nice,63.4,34.1,48.27,79.7,2.71,9.8,Aucun (Normal)
SNS-0266,0622290022,Orange,Bordeaux,73.2,31.1,47.57,68.6,2.09,24.8,Aucun (Normal)
SNS-0267,0192290010,Orange,Marseille,73.2,65.5,47.9,87.1,4.0,55.7,Aucun (Normal)
SNS-0268,0742290295,Orange,Nantes,80.2,27.7,47.83,73.5,2.64,34.3,Aucun (Normal)
SNS-0269,0012290202,Free Mobile,Grenoble,72.9,51.8,48.28,65.8,2.73,42.8,Aucun (Normal)
SNS-0270,0422290016,Orange,Marseille,55.8,90.9,47.7,86.3,1.07,47.3,Aucun (Normal)
SNS-0271,0262290148,Bouygues Telecom,Annecy,49.4,45.9,48.26,68.6,2.91,2.0,Aucun (Normal)
SNS-0272,0132290024,Free Mobile,Marseille,87.1,25.8,47.58,94.5,0.66,45.0,Aucun (Normal)
SNS-0273,0062290032,SFR,Paris,53.9,45.9,47.94,75.2,2.58,3.3,Aucun (Normal)
SNS-0274,0052290002,Free Mobile,Annecy,71.9,46.6,47.75,72.8,1.78,36.4,Aucun (Normal)
SNS-0275,0832290387,SFR,Lyon,79.3,76.5,48.43,81.5,1.33,76.6,Ventilateur Baie 3.5GHz
SNS-0276,0662290009,Orange,Grenoble,64.8,67.6,47.66,66.6,3.89,42.5,Aucun (Normal)
SNS-0277,0342290003,Bouygues Telecom,Paris,49.7,89.2,48.61,85.8,0.49,34.7,Aucun (Normal)
SNS-0278,0722290010,SFR,Toulouse,44.2,45.0,47.99,95.1,3.86,2.0,Aucun (Normal)
SNS-0279,0282290009,Bouygues Telecom,Rennes,43.0,56.4,48.77,71.3,3.99,2.0,Aucun (Normal)
SNS-0280,0172290211,Free Mobile,Nice,68.4,34.9,47.31,81.5,1.85,19.5,Aucun (Normal)
SNS-0281,0292290013,Free Mobile,Grenoble,76.8,76.7,47.34,97.5,3.08,72.3,Carte Alimentation DC
SNS-0282,0352290015,Bouygues Telecom,Annecy,73.4,73.3,48.5,89.6,4.19,63.1,Module Optique SFP+ 10G
SNS-0283,0762290026,Free Mobile,Montpellier,81.8,47.8,48.12,71.0,0.69,55.3,Aucun (Normal)
SNS-0284,0682290012,SFR,Lyon,49.4,62.2,47.61,92.8,3.25,9.9,Aucun (Normal)
SNS-0285,0312290370,Free Mobile,Strasbourg,59.0,40.6,48.34,68.3,1.32,7.7,Aucun (Normal)
SNS-0286,0462290087,Orange,Rennes,84.1,54.1,48.13,89.7,1.73,65.1,Module Optique SFP+ 10G
SNS-0287,0652290010,SFR,Bordeaux,67.4,36.6,47.53,75.6,1.8,19.3,Aucun (Normal)
SNS-0288,0932290017,Bouygues Telecom,Montpellier,58.2,38.2,48.09,76.9,1.47,4.1,Aucun (Normal)
SNS-0289,0942290013,Orange,Strasbourg,56.2,82.3,47.8,74.3,1.87,40.2,Aucun (Normal)
SNS-0290,0752291392,SFR,Nice,66.0,34.4,47.81,94.6,0.94,14.8,Aucun (Normal)
SNS-0291,02B2290128,SFR,Annecy,53.1,85.9,48.45,91.2,1.63,37.9,Aucun (Normal)
SNS-0292,0912290028,Bouygues Telecom,Paris,83.0,86.4,47.54,83.0,2.15,92.2,Carte Alimentation DC
SNS-0293,0772290022,Orange,Marseille,79.1,28.3,47.49,80.1,3.63,32.8,Aucun (Normal)
SNS-0294,0782290027,Free Mobile,Toulouse,64.7,59.8,48.78,75.7,3.76,35.3,Aucun (Normal)
SNS-0295,0252290013,Free Mobile,Nantes,68.4,62.1,47.62,73.3,1.04,44.0,Aucun (Normal)
SNS-0296,0142290015,Orange,Bordeaux,68.5,89.4,47.53,85.5,0.85,68.8,Ventilateur Baie 3.5GHz
SNS-0297,0022290015,Free Mobile,Nantes,56.8,47.2,47.4,91.8,4.0,9.7,Aucun (Normal)
SNS-0298,0402290011,SFR,Nice,62.4,30.2,47.9,92.1,3.36,4.5,Aucun (Normal)
SNS-0299,0242290122,Orange,Nantes,73.9,52.2,47.62,87.9,1.2,45.0,Aucun (Normal)
SNS-0300,0522290008,Bouygues Telecom,Marseille,71.4,89.7,48.33,96.5,1.8,74.3,Ventilateur Baie 3.5GHz
