id_capteur,id_parcelle,date_releve,humidite_sol_pct,temperature_sol_c,niveau_stress_hydrique,precipitations_mm,evapotranspiration_mm,indice_vegetation_ndvi
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-05,24.9,19.0,MODERE,13.5,4.9,0.63
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-06,44.9,27.5,FAIBLE,2.1,5.6,0.63
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-07,25.1,17.7,MODERE,8.4,2.3,0.57
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-08,40.3,26.9,FAIBLE,0.9,2.8,0.65
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-09,39.6,25.7,FAIBLE,11.0,4.1,0.52
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-10,32.5,24.2,FAIBLE,0.6,3.5,0.75
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-11,23.4,17.6,MODERE,9.8,5.2,0.81
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-12,43.1,18.6,FAIBLE,9.0,5.2,0.64
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-13,29.3,17.7,MODERE,13.4,2.7,0.71
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-14,39.6,23.4,FAIBLE,7.4,2.9,0.7
IOT_PAR_EXP_310436_2,PAR_EXP_310436_2,2025-06-15,33.9,18.5,FAIBLE,10.9,4.3,0.8
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-01,29.9,19.9,MODERE,8.2,4.3,0.69
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-02,32.1,27.1,FAIBLE,2.4,3.1,0.45
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-03,18.7,20.3,SEVERE,0.8,3.9,0.63
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-04,39.9,23.8,FAIBLE,13.6,3.0,0.75
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-05,43.5,16.2,FAIBLE,4.7,4.4,0.54
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-06,24.2,19.8,MODERE,10.4,2.7,0.58
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-07,44.3,16.5,FAIBLE,14.5,4.5,0.65
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-08,36.5,19.9,FAIBLE,5.5,5.4,0.48
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-09,36.7,18.5,FAIBLE,13.4,4.7,0.8
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-10,39.0,26.6,FAIBLE,9.1,2.6,0.69
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-11,35.5,19.3,FAIBLE,10.9,4.6,0.54
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-12,41.9,20.4,FAIBLE,11.5,4.5,0.57
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-13,44.0,17.4,FAIBLE,2.9,2.5,0.68
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-14,23.7,19.1,MODERE,8.6,5.3,0.55
IOT_PAR_EXP_310436_3,PAR_EXP_310436_3,2025-06-15,19.2,27.9,SEVERE,6.0,5.1,0.72
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-01,39.9,27.7,FAIBLE,0.9,4.3,0.53
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-02,34.9,17.7,FAIBLE,14.3,4.9,0.57
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-03,41.8,26.5,FAIBLE,12.1,3.6,0.51
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-04,24.1,25.0,MODERE,8.6,5.5,0.5
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-05,37.9,23.9,FAIBLE,3.3,5.4,0.73
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-06,19.2,26.6,SEVERE,12.4,2.1,0.67
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-07,24.3,22.3,MODERE,4.5,3.5,0.5
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-08,39.4,22.7,FAIBLE,4.4,2.9,0.62
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-09,33.9,28.4,FAIBLE,11.6,3.8,0.53
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-10,30.8,16.4,FAIBLE,1.2,5.1,0.78
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-11,18.3,16.8,SEVERE,3.5,4.7,0.69
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-12,32.5,18.3,FAIBLE,14.3,2.4,0.69
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-13,26.3,19.8,MODERE,6.2,4.0,0.64
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-14,43.5,23.3,FAIBLE,12.7,4.1,0.55
IOT_PAR_EXP_310437_1,PAR_EXP_310437_1,2025-06-15,20.2,22.9,SEVERE,5.4,3.0,0.58
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-01,25.4,25.8,MODERE,4.0,2.2,0.63
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-02,41.8,27.7,FAIBLE,5.7,4.5,0.68
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-03,36.5,19.4,FAIBLE,4.8,5.1,0.62
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-04,19.1,27.9,SEVERE,13.5,5.8,0.59
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-05,42.2,27.4,FAIBLE,13.7,4.1,0.71
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-06,33.8,17.1,FAIBLE,9.4,3.5,0.47
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-07,32.1,24.1,FAIBLE,7.6,3.4,0.69
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-08,40.4,21.4,FAIBLE,4.7,3.6,0.79
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-09,20.4,27.1,SEVERE,10.7,5.1,0.63
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-10,35.2,21.3,FAIBLE,1.1,3.4,0.6
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-11,18.9,17.1,SEVERE,11.7,4.0,0.58
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-12,23.4,23.4,MODERE,5.8,4.5,0.45
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-13,39.8,20.8,FAIBLE,0.9,3.5,0.57
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-14,20.5,27.7,SEVERE,5.7,3.3,0.69
IOT_PAR_EXP_310437_2,PAR_EXP_310437_2,2025-06-15,35.5,17.0,FAIBLE,2.6,3.8,0.55
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-01,25.2,28.0,MODERE,1.0,4.2,0.76
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-02,38.7,23.0,FAIBLE,6.9,4.7,0.79
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-03,21.3,18.5,SEVERE,3.0,3.5,0.53
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-04,28.8,18.4,MODERE,0.5,3.7,0.74
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-05,40.1,27.0,FAIBLE,8.1,5.3,0.67
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-06,20.0,17.3,SEVERE,4.5,5.0,0.57
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-07,32.2,24.8,FAIBLE,5.8,5.7,0.82
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-08,39.6,27.1,FAIBLE,3.1,3.5,0.59
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-09,37.9,25.7,FAIBLE,12.6,3.0,0.62
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-10,22.5,17.9,MODERE,8.5,4.1,0.51
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-11,38.8,25.7,FAIBLE,11.2,2.5,0.57
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-12,22.9,19.0,MODERE,5.0,3.7,0.63
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-13,34.7,23.2,FAIBLE,12.2,2.8,0.74
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-14,34.5,26.8,FAIBLE,2.1,3.2,0.65
IOT_PAR_EXP_310437_3,PAR_EXP_310437_3,2025-06-15,25.1,28.5,MODERE,1.5,2.7,0.78
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-01,29.3,18.4,MODERE,12.3,4.9,0.58
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-02,34.4,26.3,FAIBLE,1.8,5.0,0.78
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-03,34.9,25.7,FAIBLE,13.0,5.4,0.68
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-04,25.6,23.9,MODERE,11.0,2.7,0.59
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-05,22.4,24.2,MODERE,7.7,5.5,0.7
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-06,33.8,19.5,FAIBLE,3.4,5.2,0.66
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-07,29.1,26.6,MODERE,10.5,3.5,0.46
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-08,19.5,23.1,SEVERE,13.8,3.5,0.79
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-09,45.0,16.4,FAIBLE,10.7,4.5,0.69
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-10,32.3,28.0,FAIBLE,11.6,4.1,0.5
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-11,24.7,25.0,MODERE,6.5,5.4,0.64
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-12,41.4,26.4,FAIBLE,7.4,3.5,0.82
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-13,25.2,25.4,MODERE,14.0,3.7,0.67
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-14,24.8,20.8,MODERE,0.1,4.5,0.63
IOT_PAR_EXP_310438_1,PAR_EXP_310438_1,2025-06-15,37.1,23.2,FAIBLE,2.2,4.7,0.52
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-01,37.9,28.0,FAIBLE,0.4,3.1,0.58
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-02,25.7,23.9,MODERE,10.4,4.8,0.62
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-03,27.2,22.7,MODERE,10.0,4.7,0.46
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-04,38.1,24.7,FAIBLE,6.3,3.6,0.6
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-05,27.9,23.3,MODERE,1.4,4.1,0.68
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-06,30.8,17.3,FAIBLE,3.2,3.5,0.65
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-07,35.9,21.5,FAIBLE,12.3,2.3,0.6
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-08,39.6,23.8,FAIBLE,8.5,5.6,0.78
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-09,23.8,16.5,MODERE,9.9,4.9,0.49
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-10,26.8,16.3,MODERE,1.9,3.1,0.66
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-11,22.2,20.5,MODERE,2.0,2.3,0.64
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-12,40.5,21.2,FAIBLE,3.4,4.7,0.49
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-13,35.5,20.0,FAIBLE,1.6,5.6,0.57
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-14,22.1,20.8,MODERE,2.8,3.5,0.62
IOT_PAR_EXP_310438_2,PAR_EXP_310438_2,2025-06-15,34.5,18.8,FAIBLE,7.9,3.6,0.46
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-01,42.0,28.0,FAIBLE,6.3,3.4,0.66
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-02,31.2,17.3,FAIBLE,14.1,2.7,0.79
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-03,18.5,16.3,SEVERE,5.9,4.6,0.78
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-04,40.2,19.7,FAIBLE,2.4,4.0,0.57
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-05,21.7,17.9,SEVERE,7.3,4.0,0.67
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-06,21.6,27.5,SEVERE,14.5,4.2,0.82
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-07,44.4,17.0,FAIBLE,1.4,5.8,0.79
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-08,40.7,17.9,FAIBLE,10.1,2.4,0.56
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-09,26.8,20.8,MODERE,8.0,5.2,0.49
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-10,29.4,20.8,MODERE,7.5,3.8,0.76
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-11,34.5,16.3,FAIBLE,7.9,5.1,0.63
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-12,34.3,25.5,FAIBLE,12.9,5.5,0.8
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-13,19.3,16.6,SEVERE,1.5,2.5,0.68
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-14,44.9,19.5,FAIBLE,0.4,3.1,0.81
IOT_PAR_EXP_310438_3,PAR_EXP_310438_3,2025-06-15,26.8,25.8,MODERE,8.5,4.0,0.47
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-01,39.6,26.7,FAIBLE,1.2,4.8,0.49
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-02,30.3,21.3,FAIBLE,12.8,4.7,0.57
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-03,25.3,17.7,MODERE,3.5,2.6,0.7
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-04,41.7,28.1,FAIBLE,0.9,5.0,0.5
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-05,23.8,26.7,MODERE,14.0,4.8,0.54
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-06,31.4,27.4,FAIBLE,6.3,5.5,0.76
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-07,33.3,17.5,FAIBLE,11.8,3.4,0.57
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-08,33.7,26.5,FAIBLE,7.1,2.4,0.78
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-09,24.9,24.7,MODERE,2.0,4.1,0.61
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-10,39.9,19.6,FAIBLE,13.8,3.9,0.76
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-11,34.5,27.7,FAIBLE,7.4,4.3,0.74
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-12,22.3,26.1,MODERE,14.4,4.9,0.72
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-13,31.9,25.6,FAIBLE,10.7,4.3,0.8
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-14,38.5,17.9,FAIBLE,2.7,3.9,0.48
IOT_PAR_EXP_310439_1,PAR_EXP_310439_1,2025-06-15,28.4,20.2,MODERE,12.8,4.8,0.61
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-01,26.6,19.7,MODERE,10.7,2.1,0.66
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-02,43.0,21.7,FAIBLE,1.9,3.0,0.62
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-03,36.6,20.4,FAIBLE,12.1,3.6,0.48
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-04,44.5,24.0,FAIBLE,4.4,3.2,0.62
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-05,44.4,28.4,FAIBLE,3.0,2.9,0.57
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-06,32.4,21.9,FAIBLE,11.8,2.5,0.49
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-07,20.1,23.2,SEVERE,7.5,5.5,0.58
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-08,28.5,20.5,MODERE,7.3,4.1,0.55
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-09,25.1,24.4,MODERE,11.9,3.7,0.65
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-10,29.1,27.8,MODERE,3.0,4.4,0.8
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-11,20.9,22.6,SEVERE,4.0,5.3,0.76
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-12,36.2,18.8,FAIBLE,12.5,5.1,0.75
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-13,29.0,16.9,MODERE,12.2,3.2,0.53
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-14,32.0,24.6,FAIBLE,13.4,4.9,0.53
IOT_PAR_EXP_310439_2,PAR_EXP_310439_2,2025-06-15,35.0,28.1,FAIBLE,8.1,3.5,0.63
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-01,24.6,20.2,MODERE,1.5,2.8,0.55
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-02,35.3,25.3,FAIBLE,5.9,3.0,0.71
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-03,35.5,20.1,FAIBLE,12.7,5.2,0.46
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-04,40.5,17.2,FAIBLE,12.5,5.1,0.52
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-05,23.2,21.4,MODERE,9.3,4.4,0.71
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-06,42.0,27.3,FAIBLE,7.1,5.1,0.59
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-07,19.3,24.4,SEVERE,10.0,3.0,0.69
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-08,26.4,26.0,MODERE,10.5,5.3,0.65
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-09,31.8,17.2,FAIBLE,7.0,3.9,0.78
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-10,29.4,23.6,MODERE,11.4,4.1,0.73
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-11,43.4,19.7,FAIBLE,0.7,5.1,0.62
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-12,41.2,25.0,FAIBLE,6.1,2.3,0.63
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-13,28.7,20.9,MODERE,11.8,4.3,0.71
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-14,25.5,23.6,MODERE,14.1,3.2,0.75
IOT_PAR_EXP_310439_3,PAR_EXP_310439_3,2025-06-15,37.0,28.0,FAIBLE,14.4,5.2,0.65
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-01,28.1,23.1,MODERE,10.6,4.6,0.5
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-02,35.0,27.9,FAIBLE,13.4,2.3,0.76
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-03,36.6,22.5,FAIBLE,14.3,2.2,0.6
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-04,36.9,24.4,FAIBLE,8.5,4.6,0.66
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-05,27.6,18.1,MODERE,10.8,3.2,0.5
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-06,42.0,21.8,FAIBLE,2.0,3.1,0.52
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-07,24.5,17.4,MODERE,11.1,2.5,0.51
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-08,22.6,17.9,MODERE,0.9,5.4,0.62
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-09,40.1,24.5,FAIBLE,3.5,4.6,0.62
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-10,28.8,23.0,MODERE,12.7,5.6,0.71
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-11,26.6,25.3,MODERE,7.6,5.0,0.54
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-12,43.1,20.9,FAIBLE,4.0,4.9,0.77
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-13,22.0,18.9,SEVERE,0.3,4.9,0.55
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-14,25.0,24.5,MODERE,9.3,3.1,0.81
IOT_PAR_EXP_310440_1,PAR_EXP_310440_1,2025-06-15,42.6,28.3,FAIBLE,9.4,3.2,0.81
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-01,28.2,24.2,MODERE,7.4,4.7,0.48
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-02,37.2,24.7,FAIBLE,3.6,4.6,0.66
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-03,36.9,26.8,FAIBLE,0.0,3.7,0.78
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-04,26.3,27.2,MODERE,7.7,3.1,0.45
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-05,37.1,25.7,FAIBLE,10.0,3.5,0.59
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-06,34.5,26.0,FAIBLE,14.1,4.2,0.7
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-07,20.3,16.5,SEVERE,4.0,5.1,0.68
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-08,24.6,24.3,MODERE,1.5,3.9,0.73
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-09,24.0,23.7,MODERE,14.5,3.4,0.71
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-10,36.7,16.0,FAIBLE,5.4,5.4,0.77
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-11,25.6,19.9,MODERE,2.1,4.8,0.68
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-12,20.6,27.2,SEVERE,13.6,3.3,0.8
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-13,34.8,18.5,FAIBLE,8.5,4.0,0.59
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-14,31.7,16.7,FAIBLE,13.9,3.8,0.79
IOT_PAR_EXP_310440_2,PAR_EXP_310440_2,2025-06-15,25.3,25.7,MODERE,14.0,3.0,0.47
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-01,29.2,24.5,MODERE,1.7,3.8,0.8
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-02,33.0,16.1,FAIBLE,11.4,4.9,0.76
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-03,41.7,28.1,FAIBLE,6.9,4.1,0.63
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-04,40.8,19.0,FAIBLE,10.4,3.4,0.8
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-05,27.2,17.2,MODERE,10.8,4.8,0.76
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-06,33.6,18.9,FAIBLE,1.5,2.5,0.57
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-07,23.5,16.2,MODERE,14.1,2.6,0.75
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-08,42.6,22.8,FAIBLE,12.9,2.5,0.46
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-09,18.8,16.3,SEVERE,13.8,4.6,0.46
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-10,30.9,19.6,FAIBLE,7.5,5.2,0.57
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-11,42.1,24.6,FAIBLE,9.7,2.5,0.69
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-12,19.0,17.0,SEVERE,13.6,3.4,0.46
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-13,35.1,22.1,FAIBLE,5.6,2.7,0.5
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-14,31.4,21.1,FAIBLE,10.7,5.0,0.59
IOT_PAR_EXP_310440_3,PAR_EXP_310440_3,2025-06-15,22.6,19.0,MODERE,0.2,2.2,0.57
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-01,31.5,24.9,FAIBLE,7.0,4.2,0.56
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-02,30.9,25.6,FAIBLE,12.3,5.6,0.7
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-03,20.0,26.1,SEVERE,5.9,5.7,0.49
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-04,40.5,21.3,FAIBLE,7.9,4.3,0.48
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-05,33.9,26.1,FAIBLE,1.4,2.7,0.69
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-06,23.9,19.0,MODERE,13.3,4.7,0.75
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-07,44.3,27.0,FAIBLE,4.2,3.2,0.81
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-08,25.1,21.9,MODERE,10.5,5.0,0.76
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-09,23.6,21.2,MODERE,1.3,5.3,0.78
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-10,27.3,27.4,MODERE,12.4,4.4,0.47
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-11,23.3,22.5,MODERE,6.5,2.8,0.68
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-12,18.5,24.1,SEVERE,9.9,4.7,0.6
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-13,27.4,27.3,MODERE,7.4,5.1,0.49
IOT_PAR_EXP_310441_1,PAR_EXP_310441_1,2025-06-14,29.2,22.1,MODERE,1.5,2.1,0.7
