id_bloc_operatoire,id_finess_etablissement,nom_etablissement,specialite_chirurgicale,nombre_salles_operatoires,taux_utilisation_bloc_pct,nombre_interventions_programmees,nombre_interventions_urgentes,delai_moyen_attente_chirurgie_jours
BLOC-0238,60013364,PHARMACIE JOYET,Orthopédie & Traumatologie,14,70.7,33,16,2
BLOC-0239,10008290,SAJ - ASSOCIATION ECLAT,Oncologie Chirurgicale,6,66.0,100,9,43
BLOC-0240,60017340,PHARMACIE DE LAS PLANAS,Neurologie & Neurochirurgie,7,70.5,82,12,33
BLOC-0241,30784755,SAAD VAL DE CHER SERVICES,Neurologie & Neurochirurgie,16,73.1,29,14,16
BLOC-0242,10006120,PHARMACIE ROUX,Cardiologie Interventionnelle,11,62.4,42,16,41
BLOC-0243,30780738,IME DE NEUVILLE,Chirurgie Viscérale & Digestive,8,98.2,74,28,31
BLOC-0244,60032471,SAAD BEL AGE SERVICE,Cardiologie Interventionnelle,11,64.8,96,10,22
BLOC-0245,60004397,SELARL PHIE DU SOLEIL KAYTANDJIAN,Oncologie Chirurgicale,8,82.1,112,18,23
BLOC-0246,20003026,PHARMACIE BAYANE,Chirurgie Viscérale & Digestive,12,60.6,70,10,31
BLOC-0247,60018215,PHARMACIE DES COLLINES,Cardiologie Interventionnelle,5,87.8,119,26,28
BLOC-0248,60027836,SAAD AZUR SERENITE,Oncologie Chirurgicale,12,77.5,106,16,39
BLOC-0249,60788254,CMP DU PARC,Orthopédie & Traumatologie,18,86.3,104,31,30
BLOC-0250,20003141,SELARL PHARMACIE DE BERGHEIM,Chirurgie Viscérale & Digestive,7,98.2,27,22,25
BLOC-0251,60005360,EHPAD SAINTE JULIETTE,Chirurgie Viscérale & Digestive,16,70.0,50,9,38
BLOC-0252,60016425,PHARMACIE DU PANACHE,Cardiologie Interventionnelle,8,74.4,63,14,9
BLOC-0253,20004479,CPEF CD02 SOISSONS,Orthopédie & Traumatologie,12,67.3,59,30,14
BLOC-0254,20016838,GCS DU CÈDRE - ET SIÈGE,Chirurgie Viscérale & Digestive,13,89.7,66,21,29
BLOC-0255,60781317,EHPAD CROIX ROUGE RUSSE,Oncologie Chirurgicale,17,97.7,60,34,12
BLOC-0256,60000304,CENTRE HOSPITALIER DE BREIL SUR ROYA,Chirurgie Viscérale & Digestive,11,98.3,58,34,29
BLOC-0257,60015849,PHARMACIE DE FALICON,Chirurgie Viscérale & Digestive,5,83.4,52,13,14
BLOC-0258,20016838,GCS DU CÈDRE - ET SIÈGE,Neurologie & Neurochirurgie,4,68.6,77,13,39
BLOC-0259,60028990,SAAD AZUR DEVELOPPEMENT SERVICE NICE,Oncologie Chirurgicale,14,63.7,113,26,14
BLOC-0260,30782544,MECS LES TOURELLES,Cardiologie Interventionnelle,17,66.4,88,7,42
BLOC-0261,60020336,ESAT L'ALMANDIN,Neurologie & Neurochirurgie,13,60.9,38,14,7
BLOC-0262,60800893,EHPAD BEGUM MS AGA KHAN,Neurologie & Neurochirurgie,17,89.6,29,20,37
BLOC-0263,60033230,SAAD DESTIA NICE,Oncologie Chirurgicale,15,73.8,106,22,14
BLOC-0264,10013217,ISIS LYON NORD MIRIBEL,Orthopédie & Traumatologie,15,78.1,96,35,20
BLOC-0265,60021599,SSIAD ADORAM,Chirurgie Viscérale & Digestive,16,93.6,100,25,17
BLOC-0266,60790979,RESIDENCE AUTONOMIE ST BARTHELEMY,Cardiologie Interventionnelle,17,68.1,37,10,32
BLOC-0267,20014700,CHRS DUFOUR DENELLE AEP ST QUENTIN,Oncologie Chirurgicale,12,98.4,118,25,30
BLOC-0268,30003024,PHARMACIE DUMAS,Chirurgie Viscérale & Digestive,9,66.1,82,34,13
BLOC-0269,60792611,SSIAD DE NICE,Orthopédie & Traumatologie,11,77.5,117,22,39
BLOC-0270,10010999,RESEAU AZA A2MICILE DOMBES COTIERE,Neurologie & Neurochirurgie,11,69.3,46,26,32
BLOC-0271,20016259,ANTENNE EANM DU FAUBOURG D'ARDON,Chirurgie Viscérale & Digestive,12,78.2,48,6,6
BLOC-0272,10008209,RÉSIDENCE SOCIALE PIERRE CHANEL,Orthopédie & Traumatologie,14,83.8,103,4,45
BLOC-0273,60015815,SELARL PHARMACIE PERIN,Chirurgie Viscérale & Digestive,5,91.5,98,15,19
BLOC-0274,30780621,ESAT RIVE GAUCHE,Neurologie & Neurochirurgie,16,89.6,80,19,8
BLOC-0275,60021938,LBM BIOESTEREL SITE MANDELIEU PASERO,Orthopédie & Traumatologie,11,89.3,119,8,16
BLOC-0276,30786107,SERVICE D'ACTIVITES DE JOUR A.GAUDET,Neurologie & Neurochirurgie,9,68.0,42,19,4
BLOC-0277,50005859,CHICAS EHPAD GAP,Chirurgie Viscérale & Digestive,9,81.6,113,16,35
BLOC-0278,20002390,SELARL PHARMACIE SEIGNEZ,Chirurgie Viscérale & Digestive,17,64.0,114,35,15
BLOC-0279,20019527,CADA AEP SISSONNE,Orthopédie & Traumatologie,8,76.9,45,20,41
BLOC-0280,30003628,ESAT LOIRE ET BESBRE,Orthopédie & Traumatologie,12,80.0,64,25,36
BLOC-0281,40780470,CLINIQUE TOUTES AURES,Oncologie Chirurgicale,16,67.9,93,22,45
BLOC-0282,50006147,MAISON DE RETRAITE VILLA MONTBRISON,Orthopédie & Traumatologie,14,85.3,78,24,37
BLOC-0283,60020831,SELARL PHARMACIE LEFEUVRE,Orthopédie & Traumatologie,16,73.8,75,25,7
BLOC-0284,60014479,EAM L'HELIANTHE CH DE PUGET THENIERS,Oncologie Chirurgicale,10,97.6,88,33,14
BLOC-0285,60029352,SAAD MAISON D'AZUR ANTIBES,Orthopédie & Traumatologie,13,94.5,96,27,39
BLOC-0286,60004843,PHARMACIE DU VAL FLEURI,Orthopédie & Traumatologie,14,69.3,45,12,14
BLOC-0287,10009991,CATTP ENFANTS-ADO AMBERIEU,Orthopédie & Traumatologie,7,72.5,86,29,35
BLOC-0288,60793478,CENTRE D'ACTION EDUCATIVE,Orthopédie & Traumatologie,12,73.1,116,11,32
BLOC-0289,20006805,SELARL PHARMACIE DE LA GARE,Orthopédie & Traumatologie,17,87.9,87,17,17
BLOC-0290,30004014,PHARMACIE FLEURY,Cardiologie Interventionnelle,18,73.5,61,25,14
BLOC-0291,30003164,PHARMACIE DES CITES,Chirurgie Viscérale & Digestive,10,77.9,25,17,9
BLOC-0292,10790012,FAM LA ROCHE FLEURIE PREMEYZEL,Cardiologie Interventionnelle,14,66.0,53,5,32
BLOC-0293,60024577,CMP VALBONNE,Oncologie Chirurgicale,18,72.1,27,14,34
BLOC-0294,40005043,HJ CH DIGNE,Cardiologie Interventionnelle,7,75.7,26,27,20
BLOC-0295,60033230,SAAD DESTIA NICE,Orthopédie & Traumatologie,11,64.4,30,18,33
BLOC-0296,10790350,SERVICE ACCOMPAGMT VIE SOCIALE BUGEY,Cardiologie Interventionnelle,8,78.3,84,9,15
BLOC-0297,60026804,SAAD PROSENIORS,Neurologie & Neurochirurgie,9,85.9,41,24,7
BLOC-0298,60008638,SSIAD SUD SERVICES,Oncologie Chirurgicale,14,64.5,85,18,2
BLOC-0299,20011441,PHARMACIE DE SOISSONS CHEVREUX,Cardiologie Interventionnelle,5,88.3,29,10,32
BLOC-0300,60792983,INSTITUT SUPERIEUR SASSERNO,Oncologie Chirurgicale,16,95.6,72,33,28
BLOC-0301,70001334,LBM SYNLAB VALLÉE DU RHÔNE JOYEUSE,Neurologie & Neurochirurgie,16,83.8,109,31,5
BLOC-0302,20013124,SAAD SIAD DE SAINT-QUENTIN,Neurologie & Neurochirurgie,6,84.6,60,9,32
BLOC-0303,40788895,CHRS COALLIA,Chirurgie Viscérale & Digestive,5,73.9,86,18,15
BLOC-0304,40002420,SELARL PHARMACIE DES ARCHES,Oncologie Chirurgicale,9,92.9,35,33,38
BLOC-0305,10010791,RÉSIDENCE HENRI DUNANT,Oncologie Chirurgicale,17,84.6,82,25,34
BLOC-0306,50007640,FAM LES GUERINS,Cardiologie Interventionnelle,14,62.5,75,24,4
BLOC-0307,20006284,CSAPA OPPELIA HORIZON CHATEAU THIERRY,Orthopédie & Traumatologie,12,88.2,103,27,36
BLOC-0308,60011046,SELAS PHARMACIE CANNES RIVIERA,Oncologie Chirurgicale,17,82.6,116,4,33
BLOC-0309,20008868,CMP EPSMD HIRSON ENFANT,Cardiologie Interventionnelle,17,78.1,39,17,37
BLOC-0310,20007043,FV APF SAINT-QUENTIN,Neurologie & Neurochirurgie,6,95.4,91,11,17
BLOC-0311,30005763,PHARMACIE BICHET,Oncologie Chirurgicale,15,90.4,94,5,31
BLOC-0312,60020948,SESSAD LES COTEAUX D'AZUR,Oncologie Chirurgicale,15,74.1,58,6,41
BLOC-0313,60780103,IME VAL PAILLON,Cardiologie Interventionnelle,12,68.2,94,14,44
BLOC-0314,10007227,AIN AIDE ET SERVICES BELLEY,Neurologie & Neurochirurgie,10,97.5,118,14,12
BLOC-0315,60787405,CONSULT. PMI DE LA CONDAMINE,Neurologie & Neurochirurgie,13,63.6,74,10,30
BLOC-0316,10786085,EHPAD CH PONT DE VAUX,Neurologie & Neurochirurgie,8,76.4,111,4,38
BLOC-0317,60027653,SAAD TOGI SANTE NICE,Oncologie Chirurgicale,6,82.0,112,4,9
BLOC-0318,20014643,CMP CH SAINT-QUENTIN,Neurologie & Neurochirurgie,5,93.4,82,30,11
BLOC-0319,10000180,CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,Chirurgie Viscérale & Digestive,18,96.5,27,30,6
BLOC-0320,10009025,ACCUEIL DE JOUR LES JARDINS D'ALOIS,Neurologie & Neurochirurgie,17,77.9,114,34,20
BLOC-0321,10011278,CHU TREMPLIN,Chirurgie Viscérale & Digestive,13,92.2,26,20,31
BLOC-0322,60029832,CDS NICE TRACHEL,Cardiologie Interventionnelle,4,78.0,85,17,36
BLOC-0323,50006386,SESSAD APF,Neurologie & Neurochirurgie,11,95.5,37,9,14
BLOC-0324,60787256,CONSULT.PMI ROQUEBRUNE,Chirurgie Viscérale & Digestive,4,81.5,27,24,36
BLOC-0325,60016219,SSIAD ADMR MENTON,Neurologie & Neurochirurgie,18,94.0,107,12,24
BLOC-0326,30003065,PHARMACIE BARTASSOT,Orthopédie & Traumatologie,15,62.0,91,4,10
BLOC-0327,40785263,SSIAD MUTUELLES DU SOLEIL,Orthopédie & Traumatologie,10,98.0,29,35,40
BLOC-0328,10010999,RESEAU AZA A2MICILE DOMBES COTIERE,Cardiologie Interventionnelle,10,80.0,63,35,37
BLOC-0329,10008829,MARPA LES NARCISSES,Cardiologie Interventionnelle,14,70.3,114,33,22
BLOC-0330,10784379,IFSI - ORSAC - CPA,Cardiologie Interventionnelle,7,95.1,25,31,15
BLOC-0331,10003622,PHARMACIE DE DORTAN,Oncologie Chirurgicale,5,69.5,103,15,33
BLOC-0332,60026143,SCAN GIE IMAG MED PUB PRIV SITE CH,Chirurgie Viscérale & Digestive,8,86.5,29,19,40
BLOC-0333,60029006,SAAD AZUR DEVELOPPEMENT SERVICE,Cardiologie Interventionnelle,16,87.8,28,27,16
BLOC-0334,50007962,DITEP DYS LES LAVANDES,Neurologie & Neurochirurgie,12,63.5,35,9,8
BLOC-0335,60791688,APREH - CENTRE D HABITAT LA MARCELLINE,Cardiologie Interventionnelle,5,77.8,63,4,9
BLOC-0336,10004000,PHARMACIE JASSANAISE,Orthopédie & Traumatologie,11,98.4,26,25,21
BLOC-0337,40004624,LBM EUROFINS LABAZUR ALPES SUD VAR SIT,Cardiologie Interventionnelle,14,71.4,48,4,32
BLOC-0338,10784163,ESAT LE PENNESSUY,Oncologie Chirurgicale,14,93.7,72,6,21
BLOC-0339,10003937,PHARMACIE DU CRET,Cardiologie Interventionnelle,18,61.5,57,29,36
BLOC-0340,60010469,CHRS MAISON DE JOUAN,Neurologie & Neurochirurgie,9,97.4,70,16,22
BLOC-0341,40006645,MSP DE VALENSOLE,Cardiologie Interventionnelle,8,63.4,72,8,19
BLOC-0342,60019536,CENTRE D'ACCUEIL DE JOUR MEDITERANNEE,Neurologie & Neurochirurgie,4,89.2,88,32,19
BLOC-0343,30782908,IFSI IFAS VICHY,Chirurgie Viscérale & Digestive,13,87.2,99,24,6
BLOC-0344,60023256,GCS IFSI ACADEMIE DE NICE ET SIEGE,Orthopédie & Traumatologie,10,86.1,89,6,10
BLOC-0345,20019493,APPARTEMENTS THERAPEUTIQUES RELAIS,Chirurgie Viscérale & Digestive,15,74.1,28,34,13
BLOC-0346,50009281,MSP DE BAYARD,Orthopédie & Traumatologie,15,88.5,78,4,19
BLOC-0347,60018181,PHARMACIE PERTINAX,Chirurgie Viscérale & Digestive,17,96.7,97,31,41
BLOC-0348,20006193,PHARMACIE DE L'AISNE,Cardiologie Interventionnelle,18,86.2,93,6,12
BLOC-0349,60016227,PHARMACIE DU VALLON DES FLEURS,Chirurgie Viscérale & Digestive,4,67.9,120,14,38
BLOC-0350,20007944,PHARMACIE DES REMPARTS,Orthopédie & Traumatologie,6,69.1,29,22,17
BLOC-0351,70002399,CMP ADULTES PRIVAS,Cardiologie Interventionnelle,8,98.5,34,19,6
BLOC-0352,60027349,SAAD M.A.D SUD,Orthopédie & Traumatologie,18,92.5,91,7,28
BLOC-0353,10006849,ASSOCIATION ECLAT,Orthopédie & Traumatologie,13,95.0,118,33,35
BLOC-0354,60022902,EHPAD DE NICE,Cardiologie Interventionnelle,8,85.6,69,34,43
BLOC-0355,70006663,LIEU DE VIE LA CHARDERIE,Orthopédie & Traumatologie,16,93.3,65,14,43
BLOC-0356,60023199,LIEU DE VIE ICI VA L'HORIZON,Chirurgie Viscérale & Digestive,15,90.6,89,17,26
BLOC-0357,10013290,DAC DE L'AIN - SAINT-DENIS-LES-BOURG,Orthopédie & Traumatologie,9,90.7,45,4,38
BLOC-0358,50002104,ESAT DE ROSANS,Neurologie & Neurochirurgie,5,69.3,97,13,28
BLOC-0359,20003679,FH FONDATION SAVART SAINT-MICHEL,Cardiologie Interventionnelle,10,72.6,51,13,8
BLOC-0360,60801164,CDS DENTAIRE OXANCE GRASSE,Orthopédie & Traumatologie,5,73.5,86,5,28
BLOC-0361,40002867,SELARL PHARMACIE BONNE FONTAINE,Cardiologie Interventionnelle,15,93.3,118,33,43
BLOC-0362,20002150,EHPAD DERCHE ETREILLERS,Oncologie Chirurgicale,4,94.6,105,25,9
BLOC-0363,60800208,EHPAD L'ALBAREA,Oncologie Chirurgicale,10,81.7,62,28,25
BLOC-0364,40004475,MAISON RELAIS LE PREVOT,Cardiologie Interventionnelle,6,92.7,62,28,12
BLOC-0365,60031648,MSP POLE SANTE SU FERION,Neurologie & Neurochirurgie,17,83.0,75,35,25
BLOC-0366,30782775,LE HAMEAU DE L'AMITIE,Orthopédie & Traumatologie,11,62.1,72,14,39
BLOC-0367,20000543,ETS PUB SANTÉ MENTALE DE L'AISNE,Chirurgie Viscérale & Digestive,7,73.5,89,16,20
BLOC-0368,60013430,PHARMACIE DU TRIANON,Oncologie Chirurgicale,8,70.7,89,18,14
BLOC-0369,60016508,CENTRE DE FORMATION DU CHU DE NICE,Oncologie Chirurgicale,9,86.0,114,17,10
BLOC-0370,50006360,SAVS MORGON,Oncologie Chirurgicale,12,61.1,88,16,8
BLOC-0371,60009818,EHPAD LA BASTIDE DES CAYRONS,Orthopédie & Traumatologie,14,80.5,61,8,9
BLOC-0372,60014164,SELARL PHARMACIE HANBURY,Chirurgie Viscérale & Digestive,7,62.7,26,20,21
BLOC-0373,60024288,LBM EUROFINS LABAZUR ILAB SITE COLLET,Chirurgie Viscérale & Digestive,17,63.4,85,16,29
BLOC-0374,20004719,EHPAD CH GUISE,Orthopédie & Traumatologie,16,64.9,62,23,12
BLOC-0375,20016036,PMI CD02 LAON,Cardiologie Interventionnelle,8,86.6,79,9,35
BLOC-0376,60027406,SAAD SHIVA,Neurologie & Neurochirurgie,9,81.2,70,35,20
BLOC-0377,10010874,ACT BASILIADE AIN,Oncologie Chirurgicale,14,74.6,34,7,28
BLOC-0378,40005597,SAAD ADMR DE MALIJAI,Orthopédie & Traumatologie,9,62.4,31,27,12
BLOC-0379,20015806,SERVICE M.J.P.M. ATA CHAUNY,Chirurgie Viscérale & Digestive,12,61.8,26,32,36
BLOC-0380,20014460,EHPAD COLISEE BRAINE,Oncologie Chirurgicale,4,84.8,89,33,41
BLOC-0381,40000069,CHI MANOSQUE SITE FORCALQUIER,Cardiologie Interventionnelle,7,86.9,72,12,38
BLOC-0382,20006383,RESIDENCE SOCIALE FJT RES. MAHIEU,Cardiologie Interventionnelle,13,68.3,104,35,40
BLOC-0383,20007860,PHARMACIE DEVRIERE,Cardiologie Interventionnelle,14,76.6,82,13,31
BLOC-0384,60017514,SELAS GRANDE PHARMACIE DU SUD,Chirurgie Viscérale & Digestive,7,93.1,114,20,42
BLOC-0385,20009874,USLD CH SAINT-QUENTIN,Cardiologie Interventionnelle,5,98.4,107,20,37
BLOC-0386,60801289,SERVICE D'ENQUETES SOCIALES,Orthopédie & Traumatologie,12,69.0,98,24,29
BLOC-0387,10780930,EHPAD FONDATION COSTAZ CHAMPAGNE,Cardiologie Interventionnelle,7,86.8,106,13,9
BLOC-0388,60020849,EHPAD LES JARDINS DE FANTON,Orthopédie & Traumatologie,11,71.7,74,22,42
BLOC-0389,60009990,PHARMACIE DE MOUGINS,Oncologie Chirurgicale,18,76.9,29,26,27
BLOC-0390,10789642,CMP ADULTES CHATILLON,Neurologie & Neurochirurgie,9,78.4,66,5,17
BLOC-0391,20012845,HJ EPSMD CROUY,Neurologie & Neurochirurgie,11,89.8,90,29,42
BLOC-0392,70000484,CH ARDECHE MERIDIONALE -VALS LES BAINS,Oncologie Chirurgicale,15,77.1,55,15,22
BLOC-0393,60009479,FTM LEVENS,Chirurgie Viscérale & Digestive,11,71.1,56,26,22
BLOC-0394,30009039,RÉSIDENCE ACCUEIL PAUL CONSTANS,Oncologie Chirurgicale,18,69.2,71,25,20
BLOC-0395,60029337,SAAD MAISON D'AZUR,Orthopédie & Traumatologie,14,62.1,78,27,36
BLOC-0396,20012647,FV FONDATION SAVART SAINT-MICHEL,Cardiologie Interventionnelle,18,77.4,81,26,22
BLOC-0397,20012399,SESSAD LA FEUILLAUME,Cardiologie Interventionnelle,13,75.0,106,21,3
BLOC-0398,20013017,SAAD ADMR AUBENTON,Chirurgie Viscérale & Digestive,9,60.6,94,14,2
BLOC-0399,60031895,MECS THERAPEUTIQUE VILLA LES IRIS,Oncologie Chirurgicale,7,62.2,62,13,18
BLOC-0400,50008697,HJ PSY IJ LA DOUCETTE GAP,Oncologie Chirurgicale,16,87.6,88,31,15
BLOC-0401,10004935,PHARMACIE DE LA PLAINE,Orthopédie & Traumatologie,10,75.4,71,18,24
BLOC-0402,20017570,MSP DELA VALLÉE DE L'OISE,Orthopédie & Traumatologie,6,83.1,71,11,6
BLOC-0403,50003870,SELARL PHIE DE LA LUYSANNE,Neurologie & Neurochirurgie,9,82.2,105,29,9
BLOC-0404,10009587,LBM UNILIANS BIOGROUP JASSANS RIOTTIER,Cardiologie Interventionnelle,14,89.9,117,28,20
BLOC-0405,10784288,ESAT CENTRE DE VIE RURAL TREFFORT,Cardiologie Interventionnelle,15,79.6,79,27,35
BLOC-0406,60801024,IME HENRI MATISSE,Orthopédie & Traumatologie,17,89.5,103,31,23
BLOC-0407,60027638,SAAD AIDOM SERVICES,Cardiologie Interventionnelle,14,71.5,27,14,18
BLOC-0408,30003610,PHARMACIE DE RIMARD,Oncologie Chirurgicale,15,73.4,30,27,26
BLOC-0409,60007879,GCS UNITE EVEIL CHU NICE UGECAM SIEGE,Neurologie & Neurochirurgie,16,61.9,39,10,3
BLOC-0410,50006204,SAVS CLAIR SOLEIL,Orthopédie & Traumatologie,15,66.2,102,18,14
BLOC-0411,30783989,CTRE DE PEDOPSYCHIATRIE JEAN BILLAUD,Orthopédie & Traumatologie,5,62.7,103,14,10
BLOC-0412,20002473,PHARMACIE BLEUSE,Orthopédie & Traumatologie,14,83.5,38,5,20
BLOC-0413,60781564,FOYER DE MALBOSC GRASSE,Chirurgie Viscérale & Digestive,9,89.1,98,35,17
BLOC-0414,60023256,GCS IFSI ACADEMIE DE NICE ET SIEGE,Neurologie & Neurochirurgie,11,75.4,36,24,21
BLOC-0415,60030095,RESIDENCE ACCUEIL NICETTA,Chirurgie Viscérale & Digestive,4,76.4,85,13,11
BLOC-0416,20018990,SAAD AGES ET VIE - ETREUX,Orthopédie & Traumatologie,17,90.1,67,33,4
BLOC-0417,30004279,EAM BEAU REGARD SITE LE DONJON,Neurologie & Neurochirurgie,17,63.6,31,30,3
BLOC-0418,60782166,EHPAD LE TEMPS DES CERISES,Cardiologie Interventionnelle,11,78.1,71,30,6
BLOC-0419,10012110,SAAD COCOONING AIN VAL DE SAONE,Neurologie & Neurochirurgie,6,91.8,48,22,23
BLOC-0420,60014875,PHARMACIE DU MONT ALBAN,Oncologie Chirurgicale,9,78.0,53,26,44
BLOC-0421,50003037,SELAS PHIE DE L'ARGENTIERE LA BESSEE,Oncologie Chirurgicale,15,75.3,62,19,12
BLOC-0422,70004544,SAVS DE RUOMS,Oncologie Chirurgicale,8,96.6,94,28,10
BLOC-0423,40004616,MAISON L'AURORE,Orthopédie & Traumatologie,15,69.6,29,17,4
BLOC-0424,30006647,CENTRE EDUCATIF RENFORCÉ L'OVAL'VIE,Oncologie Chirurgicale,12,75.3,33,21,34
BLOC-0425,60014214,PHARMACIE ALESSANDRA,Neurologie & Neurochirurgie,13,62.1,63,23,32
BLOC-0426,10010874,ACT BASILIADE AIN,Cardiologie Interventionnelle,8,60.2,81,9,12
BLOC-0427,10003366,PHARMACIE DE CHALAMONT,Oncologie Chirurgicale,4,78.3,75,34,25
BLOC-0428,60006327,LBM EUROFINS LABAZUR NICE SITE CALIFOR,Chirurgie Viscérale & Digestive,18,76.7,36,30,19
BLOC-0429,20002192,EHPAD MARLE,Cardiologie Interventionnelle,6,75.3,27,16,15
BLOC-0430,30780613,CENTRE DE REEDUCATION PROFESSIONNELLE,Oncologie Chirurgicale,6,91.7,56,20,4
BLOC-0431,50007103,SESSAD LE BOIS DE SAINT JEAN ADSEA,Oncologie Chirurgicale,16,87.0,112,19,28
BLOC-0432,60025251,PHARMAT SAS,Oncologie Chirurgicale,4,65.3,59,10,31
BLOC-0433,60800455,EHPAD RESIDENCE BLEU D'AZUR,Oncologie Chirurgicale,6,72.8,82,13,35
BLOC-0434,30009005,CATTP DU CH DAINAY LE CHATEAU,Cardiologie Interventionnelle,12,87.6,92,34,22
BLOC-0435,10780583,IME LE PRELION,Cardiologie Interventionnelle,14,74.9,56,9,32
BLOC-0436,60010592,PHARMACIE POUZIN,Chirurgie Viscérale & Digestive,9,75.3,111,5,41
BLOC-0437,60004041,CONSULTATIONS PMI DE PEGOMAS,Orthopédie & Traumatologie,16,91.8,95,5,20
BLOC-0438,10781011,EHPAD PUBLIC LES SAULAIES,Neurologie & Neurochirurgie,16,76.5,73,6,27
BLOC-0439,60011764,PHARMACIE DU PRADO,Cardiologie Interventionnelle,16,96.8,101,30,14
BLOC-0440,60029154,SAAD DOMICIL'PARTNER,Neurologie & Neurochirurgie,7,82.9,104,13,13
BLOC-0441,60792439,SSIAD LA BEVERA,Cardiologie Interventionnelle,16,89.5,49,7,33
BLOC-0442,60022027,LBM BIOESTEREL SITE CANNES OXFORD,Chirurgie Viscérale & Digestive,11,89.3,99,31,37
BLOC-0443,10010270,MARPA LA VEYLE,Oncologie Chirurgicale,9,82.6,35,13,15
BLOC-0444,20016325,SAAD CARCT,Neurologie & Neurochirurgie,9,66.0,25,12,29
BLOC-0445,20017554,MSP DE VILLENEUVE SUR AISNE,Neurologie & Neurochirurgie,16,89.4,74,28,6
BLOC-0446,10006120,PHARMACIE ROUX,Oncologie Chirurgicale,16,66.3,46,15,12
BLOC-0447,20011128,SAAD CCAS BOHAIN-EN-VERMANDOIS,Chirurgie Viscérale & Digestive,7,89.2,107,9,44
BLOC-0448,10006740,SAAD ADMR CHALEINS,Chirurgie Viscérale & Digestive,4,68.9,115,21,36
BLOC-0449,10781078,EHPAD LA CATHERINETTE PONT D'AIN,Orthopédie & Traumatologie,13,62.5,61,13,5
BLOC-0450,20015806,SERVICE M.J.P.M. ATA CHAUNY,Cardiologie Interventionnelle,12,88.0,116,7,13
BLOC-0451,10008332,MARPA PLAIN CHAMP,Neurologie & Neurochirurgie,6,89.7,100,7,26
BLOC-0452,30008445,CATTP ENFANTS VICHY,Cardiologie Interventionnelle,16,83.4,42,13,24
BLOC-0453,40003071,SSIAD SAINT MICHEL,Orthopédie & Traumatologie,13,98.5,86,14,40
BLOC-0454,30003065,PHARMACIE BARTASSOT,Neurologie & Neurochirurgie,16,83.5,104,9,9
BLOC-0455,50007558,CSM CHANT'OURS,Cardiologie Interventionnelle,13,84.5,30,5,29
BLOC-0456,60799244,CHRS VILLA ST CAMILLE,Neurologie & Neurochirurgie,17,65.2,109,20,34
BLOC-0457,30006704,CSAPA DE VICHY,Oncologie Chirurgicale,17,73.0,85,6,25
BLOC-0458,10011807,MAISON DE SANTE DE POLLIAT,Orthopédie & Traumatologie,7,91.4,79,21,43
BLOC-0459,20017554,MSP DE VILLENEUVE SUR AISNE,Neurologie & Neurochirurgie,13,79.6,107,21,24
BLOC-0460,60788239,CMP LES EAUX VIVES,Chirurgie Viscérale & Digestive,9,76.7,91,19,3
BLOC-0461,60027794,SAAD AXION SP,Neurologie & Neurochirurgie,15,98.5,78,21,27
BLOC-0462,60025004,AZUR OXYGENE,Neurologie & Neurochirurgie,11,62.3,84,5,18
BLOC-0463,30008361,CMP ADULTES LE MAYET DE MONTAGNE,Cardiologie Interventionnelle,7,60.7,39,25,2
BLOC-0464,30001978,CEF DU BOURBONNAIS,Neurologie & Neurochirurgie,10,86.3,119,16,8
BLOC-0465,60014677,PHARMACIE DU VAL D'OR,Chirurgie Viscérale & Digestive,12,93.3,55,19,27
BLOC-0466,40005696,SAAD ADMR D'ORAISON,Oncologie Chirurgicale,6,92.4,28,20,12
BLOC-0467,30006878,CMPP DE MOULINS,Chirurgie Viscérale & Digestive,8,89.9,96,33,21
BLOC-0468,30784284,SAAD AAD BASSIN AUMANCE,Cardiologie Interventionnelle,18,75.5,120,24,22
BLOC-0469,60786191,SESSAD LES CHENES 2EME UNITE (ES),Chirurgie Viscérale & Digestive,17,78.8,33,8,5
BLOC-0470,60799392,EHPAD LES JARDINS DE STE MARGUERITE,Neurologie & Neurochirurgie,7,65.5,118,18,10
BLOC-0471,10003333,PHARMACIE DE CEYZERIAT,Orthopédie & Traumatologie,15,69.1,117,22,23
BLOC-0472,20002077,SELAS PHARMACIE CHARLEMAGNE,Oncologie Chirurgicale,7,67.8,78,26,10
BLOC-0473,10788339,ESAT BELLEGARDE INDUSTRIE,Cardiologie Interventionnelle,11,91.1,35,32,45
BLOC-0474,40787772,CENTRE HOSPIT SPE PSY DIGNE LES BAINS,Oncologie Chirurgicale,8,94.2,45,5,20
BLOC-0475,60023447,ACCUEIL DE NUIT CCAS CANNES,Cardiologie Interventionnelle,8,64.3,69,35,17
BLOC-0476,60013364,PHARMACIE JOYET,Oncologie Chirurgicale,8,65.1,115,15,4
BLOC-0477,40785529,EHPAD LE CROU DE BANE,Cardiologie Interventionnelle,14,73.8,46,5,26
BLOC-0478,60032646,SAAD JARDINS D'ARCADIE,Cardiologie Interventionnelle,14,86.0,28,21,24
BLOC-0479,10012441,MAISON DE SANTE DE MEXIMIEUX,Chirurgie Viscérale & Digestive,8,81.6,59,21,27
BLOC-0480,60793064,COMPLEXE LA MADELEINE,Cardiologie Interventionnelle,16,80.7,110,9,31
BLOC-0481,10011385,UNITE DE DIALYSE AMBERIEU EN BUGEY,Chirurgie Viscérale & Digestive,16,79.8,116,22,10
